Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 15_level_0_Int,Unnamed: 16_level_0_Tkl+Int,Unnamed: 17_level_0_Clr,Unnamed: 18_level_0_Err
Angers,25,17.0,319,203,166,126,27,160,271,59.0,111,197,51,146,168,487,431,11
Auxerre,26,17.0,300,185,145,119,36,128,233,54.9,105,168,40,128,176,476,356,9
Brest,26,17.0,308,196,125,124,59,148,297,49.8,149,180,52,128,152,460,394,11
Le Havre,26,17.0,271,146,128,106,37,151,272,55.5,121,183,54,129,156,427,453,11
Lens,22,17.0,324,192,149,115,60,174,319,54.5,145,235,70,165,178,502,387,5
Lille,28,17.0,242,149,104,99,39,138,244,56.6,106,169,42,127,143,385,363,15
Lorient,23,17.0,243,157,125,93,25,122,227,53.7,105,132,43,89,156,399,414,6
Lyon,25,17.0,233,133,106,91,36,117,220,53.2,103,171,58,113,127,360,400,11
Marseille,30,17.0,229,130,77,108,44,115,220,52.3,105,142,47,95,125,354,300,12
Metz,27,17.0,287,174,162,92,33,156,284,54.9,128,165,48,117,112,399,383,16
Monaco,28,17.0,285,171,120,119,46,134,277,48.4,143,223,69,154,194,479,373,14
Nantes,26,17.0,262,153,149,86,27,135,236,57.2,101,178,69,109,114,376,501,15
Nice,31,17.0,244,144,131,87,26,104,223,46.6,119,180,77,103,152,396,466,14
Paris FC,27,17.0,253,150,119,100,34,115,201,57.2,86,144,52,92,121,374,423,17
Paris S-G,24,17.0,251,156,80,108,63,133,231,57.6,98,159,38,121,100,351,231,9
Rennes,28,17.0,274,159,133,104,37,134,240,55.8,106,189,73,116,143,417,394,15
Strasbourg,26,17.0,278,157,104,124,50,146,263,55.5,117,172,39,133,122,400,353,17
Toulouse,22,17.0,271,163,127,108,36,145,248,58.5,103,160,59,101,142,413,438,12
