Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
1,Lens,8,7,0,1,16,4,12,21,2.63,17.9,8.6,9.3,1.16,9,6,1,2,15,9,6,19,2.11,14.3,14.7,-0.4,-0.05
2,Paris S-G,8,7,1,0,19,4,15,22,2.75,16.8,7.7,9.1,1.14,9,5,2,2,18,11,7,17,1.89,14.1,7.7,6.5,0.72
3,Marseille,9,6,2,1,24,10,14,20,2.22,18.9,10.8,8.1,0.9,8,4,0,4,12,7,5,12,1.5,11.7,9.8,1.9,0.23
4,Lille,9,6,1,2,16,8,8,19,2.11,17.0,9.3,7.7,0.85,8,4,1,3,17,14,3,13,1.63,12.6,13.7,-1.0,-0.13
5,Lyon,8,6,0,2,14,6,8,18,2.25,15.2,7.8,7.5,0.93,9,3,3,3,11,11,0,12,1.33,11.7,12.8,-1.1,-0.12
6,Rennes,8,5,2,1,18,8,10,17,2.13,16.6,10.4,6.2,0.77,9,3,4,2,11,16,-5,13,1.44,9.2,15.5,-6.2,-0.69
7,Strasbourg,8,5,1,2,14,4,10,16,2.0,15.4,5.6,9.8,1.23,9,2,2,5,12,17,-5,8,0.89,10.5,15.5,-4.9,-0.55
8,Toulouse,9,3,3,3,14,14,0,12,1.33,13.8,9.9,3.8,0.42,8,3,2,3,10,8,2,11,1.38,10.0,11.2,-1.2,-0.15
9,Monaco,9,5,1,3,17,15,2,16,1.78,17.5,12.9,4.7,0.52,8,2,1,5,10,15,-5,7,0.88,14.0,16.0,-2.0,-0.25
10,Angers,8,4,2,2,12,7,5,14,1.75,9.6,10.7,-1.1,-0.14,9,2,2,5,6,13,-7,8,0.89,7.2,17.5,-10.3,-1.15
11,Brest,9,4,3,2,14,11,3,15,1.67,17.6,10.2,7.4,0.82,8,2,1,5,9,16,-7,7,0.88,8.5,14.2,-5.7,-0.72
12,Lorient,9,4,4,1,18,15,3,16,1.78,14.9,10.6,4.3,0.48,8,0,3,5,2,14,-12,3,0.38,7.8,11.5,-3.7,-0.46
13,Le Havre,9,3,4,2,11,9,2,13,1.44,14.2,8.0,6.2,0.69,8,1,2,5,4,14,-10,5,0.63,7.3,15.4,-8.1,-1.02
14,Nice,9,4,2,3,12,12,0,14,1.56,12.8,13.9,-1.1,-0.12,8,1,1,6,8,18,-10,4,0.5,7.8,16.9,-9.1,-1.13
15,Paris FC,8,2,2,4,12,15,-3,8,1.0,11.8,11.4,0.4,0.05,9,2,2,5,10,16,-6,8,0.89,10.6,16.6,-6.0,-0.67
16,Nantes,8,1,2,5,8,15,-7,5,0.63,7.8,14.2,-6.4,-0.8,9,2,3,4,8,13,-5,9,1.0,8.7,14.4,-5.7,-0.63
17,Auxerre,9,3,1,5,10,11,-1,10,1.11,13.0,9.7,3.3,0.37,8,0,2,6,4,16,-12,2,0.25,7.4,14.3,-7.0,-0.87
18,Metz,8,2,2,4,7,10,-3,8,1.0,9.1,10.9,-1.9,-0.24,9,1,1,7,11,28,-17,4,0.44,9.2,22.2,-13.0,-1.45
