Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 17_level_0_Ast,Unnamed: 18_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 21_level_0_KP,Unnamed: 22_level_0_1/3,Unnamed: 23_level_0_PPA,Unnamed: 24_level_0_CrsPA,Unnamed: 25_level_0_PrgP
Angers,25,17.0,5972,7464,80.0,102863,37081,2746,3104,88.5,2547,2933,86.8,528,1035,51.0,8,11.8,10.1,-3.8,114,316,91,28,458
Auxerre,26,17.0,5642,7127,79.2,103150,37741,2418,2750,87.9,2396,2748,87.2,671,1257,53.4,7,12.7,11.5,-5.7,138,491,91,29,531
Brest,26,17.0,5578,7219,77.3,111416,39943,2076,2423,85.7,2612,3052,85.6,807,1442,56.0,15,16.5,14.7,-1.5,138,424,111,41,496
Le Havre,26,17.0,5746,7337,78.3,105875,37568,2246,2536,88.6,2709,3108,87.2,614,1252,49.0,11,14.1,14.1,-3.1,135,410,110,48,592
Lens,22,17.0,6932,8444,82.1,121298,43177,3190,3572,89.3,2958,3358,88.1,656,1138,57.6,21,22.6,21.2,-1.6,178,524,159,43,684
Lille,28,17.0,7355,8920,82.5,132292,44410,3035,3438,88.3,3491,3920,89.1,669,1106,60.5,22,21.2,21.8,0.8,190,600,175,33,808
Lorient,23,17.0,6253,7619,82.1,110963,38790,2746,3080,89.2,2730,3101,88.0,623,1068,58.3,13,15.6,13.8,-2.6,142,486,109,32,560
Lyon,25,17.0,7176,8608,83.4,125268,41892,3196,3518,90.8,3180,3557,89.4,615,1109,55.5,19,19.8,19.3,-0.8,153,515,131,39,649
Marseille,30,17.0,9213,10525,87.5,150402,47074,4411,4745,93.0,3884,4247,91.5,604,999,60.5,25,22.2,20.5,2.8,187,757,143,22,786
Metz,27,17.0,7098,8454,84.0,130306,41119,2911,3167,91.9,3283,3613,90.9,761,1317,57.8,11,12.9,11.5,-1.9,113,401,81,32,451
Monaco,28,17.0,7200,8810,81.7,122480,43218,3260,3642,89.5,3133,3604,86.9,592,1059,55.9,19,21.4,21.4,-2.4,160,595,172,35,741
Nantes,26,17.0,5256,6732,78.1,100161,36475,1942,2288,84.9,2640,3008,87.8,576,1136,50.7,7,8.8,8.9,-1.8,108,330,92,21,433
Nice,31,17.0,6528,7973,81.9,109629,39018,3147,3470,90.7,2699,3096,87.2,512,987,51.9,16,16.1,16.4,-0.1,153,480,128,48,577
Paris FC,27,17.0,7840,9276,84.5,142377,45913,3175,3487,91.1,3795,4181,90.8,734,1261,58.2,14,15.3,16.7,-1.3,154,509,124,35,648
Paris S-G,24,17.0,11967,13235,90.4,198977,55116,5617,5980,93.9,5232,5572,93.9,831,1170,71.0,27,23.6,25.6,3.4,250,1046,198,33,999
Rennes,28,17.0,7125,8624,82.6,123223,43070,3142,3489,90.1,3228,3613,89.3,587,1098,53.5,22,20.2,16.4,1.8,172,584,123,32,669
Strasbourg,26,17.0,8257,9612,85.9,136926,44530,3841,4174,92.0,3733,4145,90.1,504,887,56.8,19,19.6,17.6,-0.6,137,467,140,32,693
Toulouse,22,17.0,4969,6411,77.5,90672,35592,2096,2429,86.3,2266,2682,84.5,505,993,50.9,13,13.2,14.7,-0.2,150,415,119,29,550
