Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Angers,25,26.1,42.3,17,187,1530,17.0,17,8,25,15,2,2,23,1,16.7,15.3,11.8,27.1,279,458,1.0,0.47,1.47,0.88,1.35,0.98,0.69,1.68,0.9,1.6
Auxerre,26,25.3,44.5,17,187,1530,17.0,12,7,19,9,3,5,39,6,20.3,16.5,12.7,29.2,240,531,0.71,0.41,1.12,0.53,0.94,1.2,0.75,1.95,0.97,1.72
Brest,26,27.2,44.5,17,187,1530,17.0,22,15,37,17,5,7,31,3,26.1,20.5,16.5,37.0,184,496,1.29,0.88,2.18,1.0,1.88,1.53,0.97,2.5,1.21,2.18
Le Havre,26,27.8,46.1,17,187,1530,17.0,15,11,26,14,1,4,30,1,21.5,18.2,14.1,32.3,264,592,0.88,0.65,1.53,0.82,1.47,1.26,0.83,2.09,1.07,1.9
Lens,22,27.5,49.4,17,187,1530,17.0,30,21,51,27,3,4,33,3,32.1,29.0,22.6,51.6,256,684,1.76,1.24,3.0,1.59,2.82,1.89,1.33,3.22,1.71,3.04
Lille,28,27.5,54.9,17,187,1530,17.0,33,22,55,30,3,4,37,5,29.6,26.6,21.2,47.8,349,808,1.94,1.29,3.24,1.76,3.06,1.74,1.25,2.99,1.56,2.81
Lorient,23,25.7,43.5,17,187,1530,17.0,19,13,32,18,1,4,33,1,22.8,19.6,15.6,35.1,318,560,1.12,0.76,1.88,1.06,1.82,1.34,0.92,2.25,1.15,2.07
Lyon,25,26.9,55.5,17,187,1530,17.0,24,19,43,24,0,2,35,5,26.9,25.4,19.8,45.2,288,649,1.41,1.12,2.53,1.41,2.53,1.59,1.16,2.75,1.5,2.66
Marseille,30,28.1,59.4,17,187,1530,17.0,35,25,60,31,4,5,36,4,30.5,27.1,22.2,49.4,298,786,2.06,1.47,3.53,1.82,3.29,1.8,1.31,3.1,1.6,2.9
Metz,27,26.7,49.1,17,187,1530,17.0,17,11,28,14,3,4,26,3,18.2,15.1,12.9,28.0,262,451,1.0,0.65,1.65,0.82,1.47,1.07,0.76,1.83,0.89,1.65
Monaco,28,26.1,53.1,17,187,1530,17.0,25,19,44,21,4,5,42,5,31.5,27.6,21.4,49.0,275,741,1.47,1.12,2.59,1.24,2.35,1.86,1.26,3.12,1.62,2.88
Nantes,26,25.7,42.9,17,187,1530,17.0,16,7,23,15,1,3,30,1,16.5,14.0,8.8,22.8,241,433,0.94,0.41,1.35,0.88,1.29,0.97,0.52,1.49,0.82,1.34
Nice,31,25.6,47.5,17,187,1530,17.0,18,16,34,16,2,2,36,2,20.7,19.1,16.1,35.3,269,577,1.06,0.94,2.0,0.94,1.88,1.21,0.95,2.16,1.13,2.07
Paris FC,27,27.9,53.6,17,187,1530,17.0,22,14,36,18,4,4,33,2,22.3,19.2,15.3,34.5,278,648,1.29,0.82,2.12,1.06,1.88,1.31,0.9,2.21,1.13,2.03
Paris S-G,24,24.0,69.3,17,187,1530,17.0,37,27,64,34,3,4,20,0,30.9,27.8,23.6,51.4,435,999,2.18,1.59,3.76,2.0,3.59,1.82,1.39,3.21,1.64,3.02
Rennes,28,26.5,50.9,17,187,1530,17.0,28,22,50,26,2,2,30,4,25.8,24.3,20.2,44.5,271,669,1.65,1.29,2.94,1.53,2.82,1.52,1.19,2.71,1.43,2.62
Strasbourg,26,21.9,52.8,17,187,1530,17.0,26,19,45,23,3,3,36,4,26.0,23.6,19.6,43.2,279,693,1.53,1.12,2.65,1.35,2.47,1.53,1.15,2.68,1.39,2.54
Toulouse,22,24.7,40.7,17,187,1530,17.0,23,13,36,19,4,7,40,2,23.8,18.4,13.2,31.6,244,550,1.35,0.76,2.12,1.12,1.88,1.4,0.78,2.17,1.08,1.86
