Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,预期进球,预期失球,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Lens,17,13,1,3,31,13,18,40,2.35,32.1,23.3,8.8,0.52,W W W W W,37306,"Wesley Saïd, Odsonne Édouard - 7",Robin Risser,
2,Paris S-G,17,12,3,2,37,15,22,39,2.29,30.9,15.4,15.6,0.92,W L W W W,47592,"João Neves, Bradley Barcola - 5",Lucas Chevalier,
3,Marseille,17,10,2,5,36,17,19,32,1.88,30.5,20.6,10.0,0.59,W D L W L,64951,Mason Greenwood - 11,Gerónimo Rulli,
4,Lille,17,10,2,5,33,22,11,32,1.88,29.6,23.0,6.6,0.39,W W W W L,43166,"Hákon Arnar Haraldsson, Hamza Igamane - 5",Berke Özer,
5,Lyon,17,9,3,5,25,17,8,30,1.76,26.9,20.6,6.4,0.38,D W L W W,49216,Pavel Šulc - 8,Dominik Greif,
6,Rennes,17,8,6,3,29,24,5,30,1.76,25.8,25.9,-0.1,0.0,W W L W W,27534,Esteban Lepaul - 8,Brice Samba,
7,Strasbourg,17,7,3,7,26,21,5,24,1.41,26.0,21.1,4.9,0.29,L L L D D,25692,Joaquín Panichelli - 10,Mike Penders,
8,Toulouse,17,6,5,6,24,22,2,23,1.35,23.8,21.2,2.6,0.15,L D W W L,24556,Yann Gboho - 5,Guillaume Restes,
9,Monaco,17,7,2,8,27,30,-3,23,1.35,31.5,28.9,2.7,0.16,L W L L L,9519,Ansu Fati - 5,Philipp Köhn,
10,Angers,17,6,4,7,18,20,-2,22,1.29,16.7,28.2,-11.4,-0.67,W L W W L,12214,Sidiki Cherif - 4,Hervé Koffi,
11,Brest,17,6,4,7,23,27,-4,22,1.29,26.1,24.4,1.6,0.1,W W W L W,14475,Romain Del Castillo - 6,Radosław Majecki,
12,Lorient,17,4,7,6,20,29,-9,19,1.12,22.8,22.1,0.6,0.04,D W W D D,15195,Pablo Pagis - 5,Yvon Mvogo,
13,Le Havre,17,4,6,7,15,23,-8,18,1.06,21.5,23.4,-1.9,-0.11,L L D L W,18184,"Issa Soumaré, Rassoul Ndiaye - 3",Mory Diaw,
14,Nice,17,5,3,9,20,30,-10,18,1.06,20.7,30.8,-10.2,-0.6,L L L L D,21687,Sofiane Diop - 6,Yehvann Diouf,
15,Paris FC,17,4,4,9,22,31,-9,16,0.94,22.3,27.9,-5.6,-0.33,L D D L L,17091,Ilan Kebbal - 6,Obed Nkambadio,
16,Nantes,17,3,5,9,16,28,-12,14,0.82,16.5,28.6,-12.0,-0.71,D L L L W,29680,Youssef El-Arabi - 3,Anthony Lopes,
17,Auxerre,17,3,3,11,14,27,-13,12,0.71,20.3,24.0,-3.6,-0.21,D D W L L,16403,Lassine Sinayoko - 6,Donovan Léon,
18,Metz,17,3,3,11,18,38,-20,12,0.71,18.2,33.2,-14.9,-0.88,L L L L D,23061,Gauthier Hein - 5,Jonathan Fischer,
