Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Ajaccio,31,26.1,46.4,34,374,3060,34.0,30,16,46,28,2,3,79,8,0.88,0.47,1.35,0.82,1.29
Amiens,35,26.4,44.4,34,374,3060,34.0,38,27,65,32,6,8,67,3,1.12,0.79,1.91,0.94,1.74
Annecy,30,27.2,43.4,34,374,3060,34.0,39,26,65,36,3,3,80,6,1.15,0.76,1.91,1.06,1.82
Bastia,26,25.5,51.7,34,374,3060,34.0,41,18,59,34,7,7,77,6,1.21,0.53,1.74,1.0,1.53
Caen,34,26.4,53.8,34,374,3060,34.0,30,19,49,29,1,3,69,5,0.88,0.56,1.44,0.85,1.41
Clermont Foot,34,25.8,51.4,34,374,3060,34.0,30,21,51,28,2,4,70,6,0.88,0.62,1.5,0.82,1.44
Dunkerque,29,26.7,57.3,34,374,3060,34.0,45,29,74,41,4,5,64,3,1.32,0.85,2.18,1.21,2.06
Grenoble,32,25.8,45.5,34,374,3060,34.0,43,27,70,39,4,4,50,3,1.26,0.79,2.06,1.15,1.94
Guingamp,26,25.8,54.9,34,374,3060,34.0,56,39,95,53,3,5,40,2,1.65,1.15,2.79,1.56,2.71
Lorient,26,25.1,56.3,34,374,3060,34.0,67,46,113,57,10,11,48,1,1.97,1.35,3.32,1.68,3.03
Martigues,28,27.1,43.6,34,374,3060,34.0,29,22,51,27,2,3,59,7,0.85,0.65,1.5,0.79,1.44
Metz,28,26.4,58.5,34,374,3060,34.0,62,42,104,55,7,8,55,1,1.82,1.24,3.06,1.62,2.85
Paris FC,27,26.5,60.6,34,374,3060,34.0,55,43,98,52,3,4,70,4,1.62,1.26,2.88,1.53,2.79
Pau FC,29,26.1,48.6,34,374,3060,34.0,39,22,61,32,7,8,76,5,1.15,0.65,1.79,0.94,1.59
Red Star,25,26.4,52.4,34,374,3060,34.0,35,23,58,32,3,4,58,1,1.03,0.68,1.71,0.94,1.62
Rodez Aveyron,29,24.7,43.0,34,374,3060,34.0,55,39,94,52,3,4,64,3,1.62,1.15,2.76,1.53,2.68
Stade Laval,29,27.7,43.6,34,374,3060,34.0,44,29,73,41,3,3,64,2,1.29,0.85,2.15,1.21,2.06
Troyes,30,25.6,45.1,34,374,3060,34.0,36,25,61,32,4,7,54,4,1.06,0.74,1.79,0.94,1.68
