Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Lorient,34,22,5,7,68,31,37,71,2.09,11910,Eli Junior Kroupi - 22,Yvon Mvogo,Promoted
2,Paris FC,34,21,6,7,55,33,22,69,2.03,10034,Jean-Philippe Krasso - 17,Obed Nkambadio,Promoted
3,Metz,34,18,11,5,64,34,30,65,1.91,20713,Cheikh Tidiane Sabaly - 15,Arnaud Bodart,→ Promotion play-off qualification — Final
4,Dunkerque,34,17,5,12,47,40,7,56,1.65,4542,Naatan Skyttä - 7,Adrián Ortolá,→ Promotion play-off qualification — Semi-final
5,Guingamp,34,17,4,13,57,45,12,55,1.62,8824,Jacques Siwe - 11,Enzo Basilio,→ Promotion play-off qualification — Semi-final
6,Annecy,34,14,9,11,42,43,-1,51,1.5,6290,Yohan Demoncy - 7,Florian Escales,
7,Stade Laval,34,14,8,12,44,38,6,50,1.47,6360,Malik Sellouki - 11,Mamadou Samassa,
8,Bastia,34,11,15,8,43,37,6,48,1.41,9550,Lamine Cissé - 9,Johny Placide,
9,Grenoble,34,13,7,14,43,44,-1,46,1.35,4815,Pape Ba - 10,Mamadou Diop,
10,Troyes,34,13,5,16,36,34,2,44,1.29,5967,Rafiki Said - 8,Nicolas Lemaître,
11,Amiens,34,13,4,17,38,50,-12,43,1.26,6837,Antoine Léautey - 10,Régis Gurtner,
12,Ajaccio,34,12,6,16,30,42,-12,42,1.24,3718,Aboubakary Kanté - 6,François-Joseph Sollacaro,Relegated
13,Pau FC,34,10,12,12,39,53,-14,42,1.24,3070,Pathé Mboup - 9,Bingourou Kamara,
14,Rodez Aveyron,34,9,12,13,56,54,2,39,1.15,4393,Timothée Nkada - 17,Lionel Mpasi,
15,Red Star,34,9,11,14,37,51,-14,38,1.12,4375,"Aliou Badji, Damien Durand - 7",Robin Risser,
16,Clermont Foot,34,7,12,15,30,46,-16,33,0.97,5130,"Mons Bassouamina, Maidine Douane - 5",Massamba Ndiaye,→ French 2/3 Relegation/Promotion play-offs
17,Martigues,34,9,5,20,29,56,-27,32,0.94,1415,Karim Tlili - 6,Yannick Etile,
18,Caen,34,5,7,22,31,58,-27,22,0.65,15190,Alexandre Mendy - 8,Anthony Mandrea,Relegated
