Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Amiens,28,18.0,36,1,0,232,268,32,259,142,227,,,0
Annecy,27,18.0,44,2,2,333,221,20,278,149,179,,,0
Bastia,27,18.0,48,3,0,277,254,26,296,177,173,,,0
Clermont Foot,28,18.0,24,2,0,188,238,18,266,152,141,,,1
Dunkerque,26,18.0,34,2,1,235,253,33,268,135,155,,,1
Grenoble,25,18.0,32,2,1,267,207,59,291,171,188,,,1
Guingamp,24,18.0,31,1,1,202,291,41,368,150,173,,,1
Le Mans,24,18.0,47,3,3,288,202,41,372,188,232,,,0
Montpellier,26,18.0,39,2,0,264,255,40,361,134,176,,,1
Nancy,27,18.0,37,5,3,280,231,28,338,172,206,,,0
Pau FC,24,18.0,44,5,1,214,250,25,401,146,160,,,1
Red Star,23,18.0,29,0,0,218,247,40,333,185,144,,,1
Reims,28,18.0,39,0,0,266,174,33,339,165,213,,,1
Rodez Aveyron,25,18.0,36,2,1,247,201,39,443,155,155,,,1
Saint-Étienne,26,18.0,30,2,0,220,248,31,200,132,184,,,0
Stade Laval,26,18.0,31,3,1,273,255,25,303,142,167,,,3
Troyes,26,18.0,40,3,1,221,250,40,331,183,159,,,1
US Boulogne,26,18.0,39,3,2,272,236,47,314,198,222,,,0
