Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Troyes,10,8,1,1,22,9,13,25,2.5,8,3,4,1,9,7,2,13,1.63
2,Reims,9,6,1,2,17,8,9,19,2.11,9,3,4,2,17,13,4,13,1.44
3,Red Star,8,3,3,2,9,10,-1,12,1.5,10,6,2,2,15,6,9,20,2.0
4,Saint-Étienne,8,4,2,2,22,12,10,14,1.75,10,5,2,3,13,13,0,17,1.7
5,Le Mans,10,5,3,2,8,5,3,18,1.8,8,3,4,1,14,12,2,13,1.63
6,Dunkerque,9,4,3,2,18,11,7,15,1.67,9,4,3,2,14,9,5,15,1.67
7,Pau FC,10,4,2,4,14,15,-1,14,1.4,8,3,4,1,12,13,-1,13,1.63
8,Guingamp,10,4,3,3,15,16,-1,15,1.5,8,3,2,3,13,14,-1,11,1.38
9,Montpellier,10,4,2,4,13,12,1,14,1.4,8,3,2,3,6,7,-1,11,1.38
10,Annecy,8,2,4,2,11,8,3,10,1.25,10,4,0,6,11,12,-1,12,1.2
11,Clermont Foot,9,3,4,2,12,9,3,13,1.44,9,2,3,4,8,13,-5,9,1.0
12,Rodez Aveyron,9,3,4,2,10,9,1,13,1.44,9,2,3,4,11,17,-6,9,1.0
13,Grenoble,9,3,5,1,8,7,1,14,1.56,9,2,1,6,11,15,-4,7,0.78
14,Nancy,8,3,1,4,6,7,-1,10,1.25,10,3,2,5,11,16,-5,11,1.1
15,Amiens,9,1,2,6,8,13,-5,5,0.56,9,4,1,4,14,15,-1,13,1.44
16,US Boulogne,9,2,1,6,11,19,-8,7,0.78,9,2,3,4,7,10,-3,9,1.0
17,Stade Laval,8,0,3,5,5,12,-7,3,0.38,10,3,3,4,9,14,-5,12,1.2
18,Bastia,9,2,2,5,7,15,-8,8,0.89,9,0,3,6,2,10,-8,3,0.33
