Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Barnsley,31,46.0,105,2,2,458,431,120,963,278,430,,,3
Blackpool,27,46.0,85,3,0,474,537,73,870,435,427,,,2
Bolton,25,46.0,96,6,2,518,531,96,834,277,466,,,1
Bristol Rovers,32,46.0,98,6,3,514,508,97,822,428,515,,,2
Burton Albion,33,46.0,122,4,4,588,401,64,624,367,458,,,3
Cambridge Utd,30,46.0,89,3,2,489,542,60,807,294,458,,,1
Carlisle United,36,46.0,83,3,1,431,458,86,854,397,503,,,4
Charlton Ath,42,46.0,112,1,1,503,428,90,817,328,497,,,0
Cheltenham,38,46.0,103,5,2,566,494,85,836,442,515,,,7
Derby County,28,46.0,78,2,0,488,477,130,1100,363,459,,,2
Exeter City,32,46.0,103,5,2,525,448,81,755,349,437,,,3
Fleetwood Town,38,46.0,99,9,6,531,468,73,879,375,484,,,1
Leyton Orient,28,46.0,113,4,2,554,353,88,741,419,435,,,2
Lincoln City,28,46.0,97,7,3,496,519,75,675,436,485,,,3
Northampton,29,46.0,75,1,0,459,436,53,710,403,432,,,1
Oxford United,31,46.0,74,5,3,428,564,75,705,411,422,,,4
P'borough Utd,30,46.0,63,1,1,412,489,72,1091,345,401,,,5
Port Vale,33,46.0,84,2,2,460,468,67,901,269,384,,,2
Portsmouth,29,46.0,110,4,2,528,584,66,946,305,407,,,0
Reading,33,46.0,90,3,1,554,406,85,799,420,524,,,2
Shrewsbury,32,46.0,97,5,2,529,449,73,770,445,463,,,2
Stevenage,30,46.0,94,5,1,555,581,123,980,380,467,,,2
Wigan Athletic,30,46.0,130,4,2,534,573,67,821,329,422,,,2
Wycombe,31,46.0,87,4,1,487,458,97,789,355,431,,,0
