Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Barnsley,31,25.0,53.8,46,506,4140,46.0,80,57,137,75,5,6,105,2,1.74,1.24,2.98,1.63,2.87
Blackpool,27,26.4,52.7,46,506,4140,46.0,65,47,112,60,5,7,85,3,1.41,1.02,2.43,1.3,2.33
Bolton,25,26.1,59.5,46,506,4140,46.0,81,57,138,75,6,7,96,6,1.76,1.24,3.0,1.63,2.87
Bristol Rovers,32,25.8,53.3,46,506,4140,46.0,51,43,94,50,1,4,98,6,1.11,0.93,2.04,1.09,2.02
Burton Albion,33,26.4,40.5,46,506,4140,46.0,38,25,63,37,1,3,122,4,0.83,0.54,1.37,0.8,1.35
Cambridge Utd,30,28.1,43.8,46,506,4140,46.0,36,21,57,32,4,5,89,3,0.78,0.46,1.24,0.7,1.15
Carlisle United,36,25.6,45.9,46,506,4140,46.0,40,22,62,36,4,5,83,3,0.87,0.48,1.35,0.78,1.26
Charlton Ath,42,25.2,52.3,46,506,4140,46.0,60,38,98,53,7,9,112,1,1.3,0.83,2.13,1.15,1.98
Cheltenham,38,26.6,44.2,46,506,4140,46.0,40,26,66,37,3,4,103,5,0.87,0.57,1.43,0.8,1.37
Derby County,28,28.2,51.2,46,506,4140,46.0,76,57,133,71,5,6,78,2,1.65,1.24,2.89,1.54,2.78
Exeter City,32,24.8,53.8,46,506,4140,46.0,44,28,72,43,1,2,103,5,0.96,0.61,1.57,0.93,1.54
Fleetwood Town,38,25.7,46.2,46,506,4140,46.0,49,31,80,49,0,2,99,9,1.07,0.67,1.74,1.07,1.74
Leyton Orient,28,25.1,52.9,46,506,4140,46.0,51,40,91,48,3,3,113,4,1.11,0.87,1.98,1.04,1.91
Lincoln City,28,23.9,42.5,46,506,4140,46.0,64,37,101,57,7,9,97,7,1.39,0.8,2.2,1.24,2.04
Northampton,29,25.7,49.0,46,506,4140,46.0,57,40,97,53,4,5,75,1,1.24,0.87,2.11,1.15,2.02
Oxford United,31,25.4,52.5,46,506,4140,46.0,77,48,125,67,10,10,74,5,1.67,1.04,2.72,1.46,2.5
P'borough Utd,30,23.1,62.2,46,506,4140,46.0,86,61,147,83,3,4,63,1,1.87,1.33,3.2,1.8,3.13
Port Vale,33,26.0,48.8,46,506,4140,46.0,39,27,66,34,5,5,84,2,0.85,0.59,1.43,0.74,1.33
Portsmouth,29,26.1,58.4,46,506,4140,46.0,75,56,131,64,11,13,110,4,1.63,1.22,2.85,1.39,2.61
Reading,33,24.2,52.4,46,506,4140,46.0,62,37,99,61,1,2,90,3,1.35,0.8,2.15,1.33,2.13
Shrewsbury,32,26.9,41.2,46,506,4140,46.0,33,25,58,33,0,1,97,5,0.72,0.54,1.26,0.72,1.26
Stevenage,30,27.8,45.6,46,506,4140,46.0,56,28,84,51,5,5,94,5,1.22,0.61,1.83,1.11,1.72
Wigan Athletic,30,23.5,53.2,46,506,4140,46.0,58,40,98,56,2,5,130,4,1.26,0.87,2.13,1.22,2.09
Wycombe,31,27.0,45.4,46,506,4140,46.0,55,32,87,46,9,13,87,4,1.2,0.7,1.89,1.0,1.7
