Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Portsmouth,46,28,13,5,78,41,37,97,2.11,18953,Colby Bishop - 21,Will Norris,Promoted
2,Derby County,46,28,8,10,78,37,41,92,2.0,27278,James Collins - 14,Joe Wildsmith,Promoted
3,Bolton,46,25,12,9,86,51,35,87,1.89,25166,Dion Charles - 14,Nathan Baxter,→ Promotion play-offs — Semi-finals
4,P'borough Utd,46,25,9,12,89,61,28,84,1.83,9385,Ephron Mason-Clark - 14,Nicholas Bilokapic,→ Promotion play-offs — Semi-finals
5,Oxford United,46,22,11,13,79,56,23,77,1.67,9505,Mark Harris - 15,James Beadle,"Promoted, → Promotion play-offs — Semi-finals"
6,Barnsley,46,21,13,12,82,64,18,76,1.65,13282,Devante Cole - 18,Liam Roberts,→ Promotion play-offs — Semi-finals
7,Lincoln City,46,20,14,12,65,40,25,74,1.61,8424,Joseph Taylor - 10,Lukas Jensen,
8,Blackpool,46,21,10,15,65,48,17,73,1.59,10667,Jordan Rhodes - 15,Daniel Grimshaw,
9,Stevenage,46,19,14,13,57,46,11,71,1.54,4640,Jamie Reid - 18,Taye Ashby-Hammond,
10,Wycombe,46,17,14,15,60,55,5,65,1.41,4980,Luke Leahy - 11,Max Stryjek,
11,Leyton Orient,46,18,11,17,53,55,-2,65,1.41,8161,Ruel Sotiriou - 11,Solomon Brynn,
12,Wigan Athletic,46,20,10,16,63,56,7,62,1.35,10442,Stephen Humphrys - 9,Sam Tickle,8-point deduction 1
13,Exeter City,46,17,10,19,46,61,-15,61,1.33,6800,Reece Cole - 6,Viljami Sinisalo,
14,Northampton,46,17,9,20,57,66,-9,60,1.3,6842,Sam Hoskins - 15,Lee Burge,
15,Bristol Rovers,46,16,9,21,52,68,-16,57,1.24,8190,Chris Martin - 16,Matthew Cox,
16,Charlton Ath,46,11,20,15,64,65,-1,53,1.15,13481,Alfie May - 23,Ashley Maynard-Brewer,
17,Reading,46,16,11,19,68,70,-2,53,1.15,13115,Sam Smith - 15,David Button,6-point deduction 2
18,Cambridge Utd,46,12,12,22,39,61,-22,48,1.04,6679,Gassan Yahyai - 11,Jack Stevens,
19,Shrewsbury,46,13,9,24,35,67,-32,48,1.04,6361,Daniel Udoh - 10,Marko Maroši,
20,Burton Albion,46,12,10,24,39,67,-28,46,1.0,3419,"Joe Powell, Mark Helm... - 5",Max Crocombe,
21,Cheltenham,46,12,8,26,41,65,-24,44,0.96,4609,Liam Sercombe - 11,Luke Southwood,Relegated
22,Fleetwood Town,46,10,13,23,49,72,-23,43,0.93,3425,Jayden Stockley - 9,Jay Lynch,Relegated
23,Port Vale,46,10,11,25,41,74,-33,41,0.89,6600,Ben Garrity - 10,Connor Ripley,Relegated
24,Carlisle United,46,7,9,30,41,81,-40,30,0.65,8000,Jordan Gibson - 7,Harry Lewis,Relegated
