Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Birmingham City,23,19,4,0,47,11,36,61,2.65,23,15,5,3,37,20,17,50,2.17
2,Wrexham,23,16,5,2,41,15,26,53,2.3,23,11,6,6,26,19,7,39,1.7
3,Stockport,23,16,4,3,42,22,20,52,2.26,23,9,8,6,30,20,10,35,1.52
4,Charlton Ath,23,15,6,2,38,16,22,51,2.22,23,10,4,9,29,27,2,34,1.48
5,Wycombe,23,12,6,5,27,18,9,42,1.83,23,12,6,5,43,27,16,42,1.83
6,Leyton Orient,23,12,4,7,33,19,14,40,1.74,23,12,2,9,39,29,10,38,1.65
7,Reading,23,14,4,5,37,21,16,46,2.0,23,7,8,8,31,36,-5,29,1.26
8,Bolton,23,11,4,8,36,32,4,37,1.61,23,9,4,10,31,38,-7,31,1.35
9,Blackpool,23,7,11,5,35,29,6,32,1.39,23,10,5,8,37,31,6,35,1.52
10,Huddersfield,23,10,4,9,27,24,3,34,1.48,23,9,3,11,31,31,0,30,1.3
11,Lincoln City,23,10,6,7,37,24,13,36,1.57,23,6,7,10,27,32,-5,25,1.09
12,Barnsley,23,6,8,9,33,36,-3,26,1.13,23,11,2,10,36,37,-1,35,1.52
13,Rotherham Utd,23,11,5,7,35,30,5,38,1.65,23,5,6,12,19,29,-10,21,0.91
14,Stevenage,23,9,5,9,28,26,2,32,1.39,23,6,7,10,14,24,-10,25,1.09
15,Wigan Athletic,23,7,7,9,20,23,-3,28,1.22,23,6,10,7,20,19,1,28,1.22
16,Exeter City,23,8,6,9,30,33,-3,30,1.3,23,7,5,11,19,32,-13,26,1.13
17,Mansfield Town,23,8,4,11,30,34,-4,28,1.22,23,7,5,11,30,39,-9,26,1.13
18,P'borough Utd,23,8,7,8,38,36,2,31,1.35,23,5,5,13,30,45,-15,20,0.87
19,Northampton,23,7,7,9,24,31,-7,28,1.22,23,5,8,10,24,35,-11,23,1.0
20,Burton Albion,23,6,6,11,30,34,-4,24,1.04,23,5,8,10,19,32,-13,23,1.0
21,Crawley Town,23,7,6,10,31,35,-4,27,1.17,23,5,4,14,26,48,-22,19,0.83
22,Bristol Rovers,23,9,4,10,31,33,-2,31,1.35,23,3,3,17,13,43,-30,12,0.52
23,Cambridge Utd,23,5,6,12,25,33,-8,21,0.91,23,4,5,14,20,40,-20,17,0.74
24,Shrewsbury,23,5,3,15,20,37,-17,18,0.78,23,3,6,14,21,42,-21,15,0.65
