Date,Home,Away,Score,HomeGoals,AwayGoals
2025-08-01,Luton Town,AFC Wimbledon,1–0,1,0
2025-08-02,Cardiff City,P'borough Utd,2–1,2,1
2025-08-02,Lincoln City,Reading,2–0,2,0
2025-08-02,Doncaster,Exeter City,1–0,1,0
2025-08-02,Plymouth Argyle,Barnsley,1–3,1,3
2025-08-02,Blackpool,Stevenage,2–3,2,3
2025-08-02,Bradford City,Wycombe,2–1,2,1
2025-08-02,Huddersfield,Leyton Orient,3–0,3,0
2025-08-02,Wigan Athletic,Northampton,3–1,3,1
2025-08-02,Burton Albion,Mansfield Town,2–1,2,1
2025-08-02,Rotherham Utd,Port Vale,2–1,2,1
2025-08-03,Stockport,Bolton,2–0,2,0
,,,,,
2025-08-07,Port Vale,Cardiff City,0–0,0,0
2025-08-09,P'borough Utd,Luton Town,0–2,0,2
2025-08-09,Reading,Huddersfield,0–2,0,2
2025-08-09,Northampton,Bradford City,0–0,0,0
2025-08-09,Stevenage,Rotherham Utd,1–0,1,0
2025-08-09,Mansfield Town,Doncaster,1–2,1,2
2025-08-09,AFC Wimbledon,Lincoln City,2–0,2,0
2025-08-09,Wycombe,Stockport,1–2,1,2
2025-08-09,Leyton Orient,Wigan Athletic,2–0,2,0
2025-08-09,Barnsley,Burton Albion,3–2,3,2
2025-08-09,Exeter City,Blackpool,4–1,4,1
2025-08-09,Bolton,Plymouth Argyle,2–0,2,0
,,,,,
2025-08-16,Burton Albion,Port Vale,0–0,0,0
2025-08-16,Exeter City,Mansfield Town,1–2,1,2
2025-08-16,Doncaster,Wycombe,1–1,1,1
2025-08-16,Blackpool,Huddersfield,3–2,3,2
2025-08-16,Bradford City,Luton Town,2–1,2,1
2025-08-16,Lincoln City,Plymouth Argyle,3–2,3,2
2025-08-16,Leyton Orient,Stockport,2–2,2,2
2025-08-16,Reading,AFC Wimbledon,1–2,1,2
2025-08-16,Wigan Athletic,P'borough Utd,2–0,2,0
2025-08-16,Stevenage,Northampton,2–0,2,0
2025-08-16,Cardiff City,Rotherham Utd,3–0,3,0
2025-08-16,Barnsley,Bolton,1–1,1,1
,,,,,
2025-08-19,Stockport,Bradford City,1–2,1,2
,Home,Away,Score,,
2025-08-19,Mansfield Town,Blackpool,2–0,2,0
2025-08-19,Plymouth Argyle,Leyton Orient,0–1,0,1
2025-08-19,Wycombe,Exeter City,0–1,0,1
2025-08-19,AFC Wimbledon,Cardiff City,0–1,0,1
2025-08-19,Northampton,Lincoln City,0–1,0,1
2025-08-19,P'borough Utd,Barnsley,0–1,0,1
2025-08-19,Luton Town,Wigan Athletic,1–0,1,0
2025-08-19,Huddersfield,Doncaster,2–0,2,0
2025-08-19,Port Vale,Stevenage,1–2,1,2
2025-08-20,Bolton,Reading,1–1,1,1
,,,,,
2025-08-23,Rotherham Utd,Wigan Athletic,2–2,2,2
2025-08-23,Luton Town,Cardiff City,0–1,0,1
2025-08-23,Huddersfield,Stevenage,1–0,1,0
2025-08-23,Mansfield Town,Leyton Orient,4–1,4,1
2025-08-23,P'borough Utd,Bradford City,1–1,1,1
2025-08-23,Plymouth Argyle,Blackpool,1–0,1,0
2025-08-23,Stockport,Burton Albion,2–1,2,1
2025-08-23,AFC Wimbledon,Barnsley,2–0,2,0
2025-08-23,Port Vale,Doncaster,0–1,0,1
2025-08-23,Wycombe,Reading,2–2,2,2
2025-08-23,Bolton,Lincoln City,1–1,1,1
2025-08-23,Northampton,Exeter City,2–0,2,0
,,,,,
2025-08-30,Doncaster,Rotherham Utd,1–0,1,0
2025-08-30,Cardiff City,Plymouth Argyle,4–0,4,0
2025-08-30,Blackpool,Bolton,1–1,1,1
2025-08-30,Leyton Orient,Northampton,0–1,0,1
2025-08-30,Wigan Athletic,Stockport,1–1,1,1
2025-08-30,Burton Albion,Luton Town,0–3,0,3
2025-08-30,Exeter City,P'borough Utd,3–0,3,0
2025-08-30,Reading,Port Vale,1–0,1,0
2025-08-30,Stevenage,Wycombe,1–0,1,0
2025-08-30,Barnsley,Huddersfield,3–1,3,1
2025-08-30,Bradford City,AFC Wimbledon,3–2,3,2
2025-08-30,Lincoln City,Mansfield Town,1–1,1,1
,,,,,
2025-09-06,Wycombe,Mansfield Town,2–0,2,0
2025-09-06,Rotherham Utd,Exeter City,1–0,1,0
2025-09-06,Bolton,AFC Wimbledon,3–0,3,0
,Home,Away,Score,,
2025-09-06,Doncaster,Bradford City,3–1,3,1
2025-09-06,Lincoln City,Wigan Athletic,2–2,2,2
2025-09-06,Huddersfield,P'borough Utd,3–2,3,2
2025-09-06,Plymouth Argyle,Stockport,4–2,4,2
2025-09-06,Port Vale,Leyton Orient,2–3,2,3
,,,,,
2025-09-13,Bradford City,Huddersfield,3–1,3,1
2025-09-13,Northampton,Blackpool,1–0,1,0
2025-09-13,Burton Albion,Lincoln City,0–1,0,1
2025-09-13,Barnsley,Reading,3–2,3,2
2025-09-13,Luton Town,Plymouth Argyle,2–3,2,3
2025-09-13,Wigan Athletic,Doncaster,3–0,3,0
2025-09-13,AFC Wimbledon,Rotherham Utd,2–1,2,1
2025-09-13,Leyton Orient,Bolton,1–1,1,1
2025-09-13,P'borough Utd,Wycombe,2–1,2,1
2025-09-13,Exeter City,Port Vale,0–2,0,2
2025-09-13,Mansfield Town,Stevenage,1–1,1,1
2025-09-13,Stockport,Cardiff City,1–1,1,1
,,,,,
2025-09-20,Bolton,Wigan Athletic,4–1,4,1
2025-09-20,Blackpool,Barnsley,1–0,1,0
2025-09-20,Lincoln City,Luton Town,3–1,3,1
2025-09-20,Huddersfield,Burton Albion,0–0,0,0
2025-09-20,Stevenage,Exeter City,2–1,2,1
2025-09-20,Reading,Leyton Orient,2–1,2,1
2025-09-20,Port Vale,Mansfield Town,2–1,2,1
2025-09-20,Plymouth Argyle,P'borough Utd,0–1,0,1
2025-09-20,Cardiff City,Bradford City,1–3,1,3
2025-09-20,Rotherham Utd,Stockport,0–1,0,1
2025-09-20,Doncaster,AFC Wimbledon,1–2,1,2
2025-09-20,Wycombe,Northampton,2–0,2,0
,,,,,
2025-09-27,Leyton Orient,Stevenage,2–3,2,3
2025-09-27,AFC Wimbledon,Wycombe,2–1,2,1
2025-09-27,Burton Albion,Plymouth Argyle,0–4,0,4
2025-09-27,Mansfield Town,Rotherham Utd,2–1,2,1
2025-09-27,P'borough Utd,Lincoln City,0–3,0,3
2025-09-27,Luton Town,Doncaster,1–0,1,0
2025-09-27,Exeter City,Huddersfield,0–1,0,1
2025-09-27,Wigan Athletic,Cardiff City,0–2,0,2
,Home,Away,Score,,
2025-09-27,Stockport,Reading,1–1,1,1
2025-09-27,Bradford City,Blackpool,1–0,1,0
2025-09-27,Northampton,Bolton,2–0,2,0
2025-09-27,Barnsley,Port Vale,0–2,0,2
,,,,,
2025-09-30,Blackpool,Luton Town,2–2,2,2
2025-09-30,Cardiff City,Burton Albion,0–1,0,1
,,,,,
2025-10-02,Rotherham Utd,Bradford City,2–2,2,2
2025-10-04,Doncaster,Burton Albion,1–1,1,1
2025-10-04,Wycombe,Barnsley,2–2,2,2
2025-10-04,Stevenage,Luton Town,2–0,2,0
2025-10-04,Bolton,P'borough Utd,2–1,2,1
2025-10-04,Cardiff City,Leyton Orient,4–3,4,3
2025-10-04,Port Vale,Northampton,0–0,0,0
2025-10-04,Huddersfield,Stockport,1–2,1,2
2025-10-04,Plymouth Argyle,Wigan Athletic,1–1,1,1
2025-10-04,Blackpool,AFC Wimbledon,0–2,0,2
2025-10-04,Lincoln City,Exeter City,0–1,0,1
2025-10-04,Reading,Mansfield Town,1–1,1,1
,,,,,
