Squad,Poss,G+A-PK
AFC Wimbledon,45.7,1.67
Barnsley,56.2,2.43
Blackpool,48.7,2.08
Bolton,60.0,2.12
Bradford City,47.8,2.12
Burton Albion,45.0,1.46
Cardiff City,62.7,2.92
Doncaster,52.1,1.71
Exeter City,50.5,1.62
Huddersfield,50.7,2.96
Leyton Orient,52.1,2.2
Lincoln City,41.4,2.44
Luton Town,57.6,2.04
Mansfield Town,45.7,2.0
Northampton,43.5,1.46
P'borough Utd,55.6,1.96
Plymouth Argyle,51.9,2.08
Port Vale,46.7,1.3
Reading,49.4,2.17
Rotherham Utd,44.3,1.33
Stevenage,44.1,1.65
Stockport,51.8,2.04
Wigan Athletic,43.5,1.83
Wycombe,53.5,2.12
