Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Cardiff City,25,16,4,5,43,25,18,52,2.08,W W D W D,19163,Yousef Salech - 12,Nathan Trott,
2,Lincoln City,25,14,6,5,40,26,14,48,1.92,W W W D W,9084,Reeco Hackett-Fairchild - 6,George Wickens,
3,Bradford City,24,13,7,4,34,25,9,46,1.92,L W W L W,20689,"Antoni Sarcevic, Bobby Pointon - 7",Sam Walker,
4,Stockport,25,12,6,7,34,30,4,42,1.68,L W D L W,9585,Kyle Wootton - 10,Ben Hinchliffe,
5,Huddersfield,26,11,6,9,45,35,10,39,1.5,W W D D L,15664,Leo Castledine - 10,Lee Nicholls,
6,Bolton,25,10,9,6,32,25,7,39,1.56,W L D D L,21892,Mason Burstow - 7,Teddy Sharman,
7,Luton Town,25,11,5,9,35,30,5,38,1.52,L W W L W,11260,Gideon Kodua - 8,Josh Keeley,
8,Stevenage,23,10,7,6,27,20,7,37,1.61,D D L D L,4400,Jamie Reid - 8,Filip Marschall,
9,Reading,24,9,8,7,32,28,4,35,1.46,W W D W W,11676,"Jack Marriott, Lewis Wing - 8",Joel Castro Pereira,
10,P'borough Utd,25,11,2,12,33,34,-1,35,1.4,W D W L W,8207,Harry Leonard - 8,Alex Bass,
11,Wycombe,25,8,9,8,32,28,4,33,1.32,W L D D W,5514,Sam Bell - 6,Will Norris,
12,Mansfield Town,23,9,5,9,31,28,3,32,1.39,D L W W W,8009,Rhys Oates - 6,Liam Roberts,
13,AFC Wimbledon,24,9,4,11,27,33,-6,31,1.29,L D L W L,8399,Marcus Browne - 6,Nathan Bishop,
14,Exeter City,24,9,3,12,25,23,2,30,1.25,W L W W D,6739,Jayden Wareham - 8,Joseph Whitworth,
15,Wigan Athletic,24,7,9,8,26,27,-1,30,1.25,L L W D L,9601,"Paul Mullin, Fraser Murray - 4",Sam Tickle,
16,Plymouth Argyle,25,9,3,13,32,39,-7,30,1.2,W L D D W,15587,Lorent Tolaj - 11,Conor Hazard,
17,Barnsley,21,8,5,8,33,33,0,29,1.38,W L L L D,12005,Davis Keillor-Dunn - 11,Murphy Cooper,
18,Leyton Orient,25,8,5,12,36,42,-6,29,1.16,W L L L D,7844,Dominic Ballard - 12,Tommy Simkin,
19,Blackpool,25,8,5,12,31,37,-6,29,1.16,W W W L L,10012,Ashley Fletcher - 10,Bailey Peacock-Farrell,
20,Northampton,24,8,5,11,22,28,-6,29,1.21,W L L D D,6638,"Cameron McGeehan, Tom Eaves... - 4",Ross Fitzsimons,
21,Burton Albion,24,7,6,11,23,34,-11,27,1.13,D W L L L,4066,Jake Beesley - 7,Bradley Collins,
22,Rotherham Utd,24,6,6,12,22,35,-13,24,1.0,L L L L L,8498,Sam Nombe - 5,Cameron Dawson,
23,Doncaster,24,6,5,13,24,41,-17,23,0.96,L L L L D,8432,Owen Bailey - 7,Thimothee Lo Tutala,
24,Port Vale,23,4,6,13,18,31,-13,18,0.78,D L L L W,7839,Devante Cole - 6,Joe Gauci,
