Squad,GF,GA,Pts
Cardiff City,43,25,52
Lincoln City,40,26,48
Bradford City,34,25,46
Stockport,34,30,42
Huddersfield,45,35,39
Bolton,32,25,39
Luton Town,35,30,38
Stevenage,27,20,37
Reading,32,28,35
P'borough Utd,33,34,35
Wycombe,32,28,33
Mansfield Town,31,28,32
AFC Wimbledon,27,33,31
Exeter City,25,23,30
Wigan Athletic,26,27,30
Plymouth Argyle,32,39,30
Barnsley,33,33,29
Leyton Orient,36,42,29
Blackpool,31,37,29
Northampton,22,28,29
Burton Albion,23,34,27
Rotherham Utd,22,35,24
Doncaster,24,41,23
Port Vale,18,31,18
