Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-08-15,Rennes,Marseille,1–0,1.5,1.7,1,0
2025-08-16,Lens,Lyon,0–1,1.4,1.4,0,1
2025-08-16,Monaco,Le Havre,3–1,1.8,0.6,3,1
2025-08-16,Nice,Toulouse,0–1,0.8,0.6,0,1
2025-08-17,Brest,Lille,3–3,1.9,1.6,3,3
2025-08-17,Angers,Paris FC,1–0,1.0,0.9,1,0
2025-08-17,Metz,Strasbourg,0–1,0.3,0.6,0,1
2025-08-17,Auxerre,Lorient,1–0,1.3,1.3,1,0
2025-08-17,Nantes,Paris S-G,0–1,0.1,1.4,0,1
,,,,,,,
2025-08-22,Paris S-G,Angers,1–0,1.8,0.2,1,0
2025-08-23,Marseille,Paris FC,5–2,2.3,1.1,5,2
2025-08-23,Nice,Auxerre,3–1,1.9,1.5,3,1
2025-08-23,Lyon,Metz,3–0,2.8,0.6,3,0
2025-08-24,Lorient,Rennes,4–0,2.9,0.1,4,0
2025-08-24,Toulouse,Brest,2–0,1.3,0.9,2,0
2025-08-24,Le Havre,Lens,1–2,1.7,1.1,1,2
2025-08-24,Strasbourg,Nantes,1–0,1.8,0.4,1,0
2025-08-24,Lille,Monaco,1–0,2.9,1.2,1,0
,,,,,,,
2025-08-29,Lens,Brest,3–1,3.8,1.1,3,1
2025-08-30,Lorient,Lille,1–7,1.1,3.5,1,7
2025-08-30,Nantes,Auxerre,1–0,0.5,0.7,1,0
2025-08-30,Toulouse,Paris S-G,3–6,2.2,2.6,3,6
2025-08-31,Angers,Rennes,1–1,1.2,1.5,1,1
2025-08-31,Le Havre,Nice,3–1,2.6,0.6,3,1
2025-08-31,Monaco,Strasbourg,3–2,1.9,1.6,3,2
2025-08-31,Paris FC,Metz,3–2,3.2,1.8,3,2
2025-08-31,Lyon,Marseille,1–0,2.3,0.8,1,0
,,,,,,,
2025-09-12,Marseille,Lorient,4–0,2.2,0.1,4,0
2025-09-13,Nice,Nantes,1–0,1.7,0.8,1,0
2025-09-13,Auxerre,Monaco,1–2,0.9,1.4,1,2
2025-09-14,Lille,Toulouse,2–1,2.1,0.8,2,1
2025-09-14,Metz,Angers,1–1,1.7,2.4,1,1
