Squad,Home.xG,Home.xGA,Away.xG,Away.xGA
Lens,17.9,8.6,14.3,14.7
Paris S-G,16.8,7.7,14.1,7.7
Marseille,18.9,10.8,11.7,9.8
Lille,17.0,9.3,12.6,13.7
Lyon,15.2,7.8,11.7,12.8
Rennes,16.6,10.4,9.2,15.5
Strasbourg,15.4,5.6,10.5,15.5
Toulouse,13.8,9.9,10.0,11.2
Monaco,17.5,12.9,14.0,16.0
Angers,9.6,10.7,7.2,17.5
Brest,17.6,10.2,8.5,14.2
Lorient,14.9,10.6,7.8,11.5
Le Havre,14.2,8.0,7.3,15.4
Nice,12.8,13.9,7.8,16.9
Paris FC,11.8,11.4,10.6,16.6
Nantes,7.8,14.2,8.7,14.4
Auxerre,13.0,9.7,7.4,14.3
Metz,9.1,10.9,9.2,22.2
