Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Troyes,18,11,5,2,31,16,15,38,2.11,L W D W W,6954,Tawfik Bentayeb - 9,Nicolas Lemaître,
2,Reims,18,9,5,4,34,21,13,32,1.78,W W W D W,10191,Keito Nakamura - 7,Ewen Jaouen,
3,Red Star,18,9,5,4,24,16,8,32,1.78,D D W D L,4498,Damien Durand - 8,Gaëtan Poussin,
4,Saint-Étienne,18,9,4,5,35,25,10,31,1.72,W W L D D,29011,Zuriko Davitashvili - 8,Gautier Larsonneur,
5,Le Mans,18,8,7,3,22,17,5,31,1.72,D W W W D,16230,Dame Guèye - 5,Nicolas Kocik,
6,Dunkerque,18,8,6,4,32,20,12,30,1.67,D D W W W,3761,Thomas Robinet - 8,Mathys Niflore,
7,Pau FC,18,7,6,5,26,28,-2,27,1.5,D L W L D,3195,Giovani Versini - 5,Noah Raveyre,
8,Guingamp,18,7,5,6,28,30,-2,26,1.44,D W L L W,7903,Louis Mafouta - 9,Teddy Bartouche-Selbonne,
9,Montpellier,18,7,4,7,19,19,0,25,1.39,W L L D L,8800,"Téji Savanier, Alexandre Mendy - 5",Simon Ngapandouetnbu,
10,Annecy,18,6,4,8,22,20,2,22,1.22,L W W L L,3784,Antoine Larose - 4,Florian Escales,
11,Clermont Foot,18,5,7,6,20,22,-2,22,1.22,W D D L W,5099,Abdoul Kader Bamba - 7,Théo Guivarch,
12,Rodez Aveyron,18,5,7,6,21,26,-5,22,1.22,L D D W D,5581,Ibrahima Baldé - 5,Quentin Braat,
13,Grenoble,18,5,6,7,19,22,-3,21,1.17,W L W D L,7366,Yadaly Diaby - 5,Mamadou Diop,
14,Nancy,18,6,3,9,17,23,-6,21,1.17,L L L W W,7881,"Nicolas Saint-Ruf, Brandon Bokangu... - 3",Enzo Basilio,
15,Amiens,18,5,3,10,22,28,-6,18,1.0,L L L W L,7614,Yvan Ikia Dimi - 4,Paul Bernardoni,
16,US Boulogne,18,4,4,10,18,29,-11,16,0.89,D W D L L,4169,Corentin Fatou - 4,Azamat Uriev,
17,Stade Laval,18,3,6,9,14,26,-12,15,0.83,L W L L L,6630,Ethan Clavreul - 4,Mamadou Samassa,
18,Bastia,18,2,5,11,9,25,-16,11,0.61,L L L D W,9780,Jérémy Sebas - 3,Johny Placide,
