Squad,TklW,Lost,Blocks,Clr
Arsenal,183,124,184,488
Aston Villa,188,145,220,478
Bournemouth,217,167,250,662
Brentford,191,146,242,659
Brighton,241,211,229,498
Burnley,211,150,267,658
Chelsea,208,127,193,478
Crystal Palace,251,162,242,735
Everton,219,149,263,673
Fulham,206,119,210,635
Leeds United,226,155,219,590
Liverpool,177,125,221,586
Manchester City,189,109,186,500
Manchester Utd,232,161,223,563
Newcastle Utd,191,159,218,604
Nott'ham Forest,216,159,242,509
Sunderland,201,142,228,700
Tottenham,256,133,228,602
West Ham,218,129,236,658
Wolves,228,167,238,642
