Squad,Home.xG,Home.xGA,Away.xG,Away.xGA
Arsenal,20.0,6.5,15.8,8.3
Manchester City,22.9,11.4,16.6,11.7
Aston Villa,12.0,12.8,13.1,17.3
Liverpool,16.1,10.3,15.7,13.5
Brentford,21.3,15.3,12.5,12.7
Newcastle Utd,21.1,13.3,9.9,10.0
Manchester Utd,18.9,10.0,18.8,16.5
Chelsea,18.1,13.5,18.7,15.0
Fulham,12.6,13.4,11.0,15.5
Sunderland,8.9,12.4,9.6,18.2
Brighton,16.5,12.7,16.2,17.2
Everton,13.5,15.3,10.1,14.9
Crystal Palace,20.0,13.0,13.2,14.4
Tottenham,10.4,10.0,9.8,16.7
Bournemouth,14.9,8.2,17.2,23.0
Leeds United,16.7,10.7,12.9,19.7
Nott'ham Forest,16.0,14.0,8.6,15.6
West Ham,12.1,17.7,9.4,17.9
Burnley,9.4,19.2,8.5,21.8
Wolves,12.6,14.7,7.1,14.1
