Squad,Poss,PrgC,G+A-PK
Arsenal,57.8,453,2.9
Aston Villa,52.8,293,2.67
Bournemouth,50.5,392,2.38
Brentford,46.4,256,2.38
Brighton,51.8,423,2.1
Burnley,41.7,217,1.62
Chelsea,57.3,431,2.67
Crystal Palace,43.1,276,1.38
Everton,43.4,306,1.9
Fulham,51.2,391,2.14
Leeds United,45.7,294,1.86
Liverpool,60.7,475,2.43
Manchester City,58.6,568,3.48
Manchester Utd,53.9,407,2.62
Newcastle Utd,52.8,354,2.14
Nott'ham Forest,49.9,358,1.52
Sunderland,42.8,272,1.48
Tottenham,51.1,382,2.48
West Ham,43.5,264,1.38
Wolves,44.9,283,1.0
