Squad,GF,GA,xG,xGA,Pts
Arsenal,40,14,35.8,14.8,49
Manchester City,45,19,39.6,23.1,43
Aston Villa,33,24,25.0,30.1,43
Liverpool,32,28,31.9,23.8,35
Brentford,35,28,33.8,28.0,33
Newcastle Utd,32,27,31.0,23.3,32
Manchester Utd,36,32,37.7,26.5,32
Chelsea,34,24,36.8,28.4,31
Fulham,30,30,23.6,29.0,31
Sunderland,21,22,18.5,30.6,30
Brighton,31,28,32.7,30.0,29
Everton,23,25,23.6,30.2,29
Crystal Palace,22,23,33.2,27.4,28
Tottenham,30,27,20.1,26.7,27
Bournemouth,34,40,32.0,31.2,26
Leeds United,29,37,29.5,30.5,22
Nott'ham Forest,21,34,24.6,29.6,21
West Ham,22,43,21.5,35.6,14
Burnley,22,41,17.9,41.0,13
Wolves,15,41,19.8,28.9,7
