Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-08-08,Casa Pia,Sporting CP,0–2,0.4,2.8,0,2
2025-08-09,Nacional,Gil Vicente FC,0–2,0.8,0.6,0,2
2025-08-09,Arouca,AVS Futebol,3–1,1.1,1.1,3,1
2025-08-10,Famalicão,Santa Clara,3–0,1.0,0.4,3,0
2025-08-10,Braga,Tondela,3–0,2.0,0.8,3,0
2025-08-10,Moreirense,Alverca,2–1,0.9,1.0,2,1
2025-08-11,Estoril,Estrela,1–1,0.7,1.4,1,1
2025-08-11,Porto,Vitória,3–0,2.7,0.5,3,0
,,,,,,,
2025-08-15,AVS Futebol,Casa Pia,0–2,1.2,1.5,0,2
2025-08-16,Tondela,Famalicão,0–1,1.1,1.1,0,1
2025-08-16,Vitória,Estoril,3–2,1.9,0.9,3,2
2025-08-16,Estrela,Benfica,0–1,1.4,2.3,0,1
2025-08-17,Rio Ave,Nacional,1–1,1.4,0.9,1,1
2025-08-17,Santa Clara,Moreirense,0–1,0.6,1.5,0,1
2025-08-17,Alverca,Braga,0–3,2.2,1.5,0,3
2025-08-17,Sporting CP,Arouca,6–0,3.0,0.2,6,0
2025-08-18,Gil Vicente FC,Porto,0–2,1.0,1.7,0,2
,,,,,,,
2025-08-23,Moreirense,Vitória,2–0,1.5,0.3,2,0
2025-08-23,Nacional,Sporting CP,1–4,0.7,2.5,1,4
2025-08-23,Benfica,Tondela,3–0,2.9,0.5,3,0
2025-08-23,Arouca,Rio Ave,3–3,0.6,1.5,3,3
2025-08-24,Famalicão,Gil Vicente FC,0–0,0.5,1.4,0,0
2025-08-24,Porto,Casa Pia,4–0,2.2,0.2,4,0
2025-08-24,Braga,AVS Futebol,2–2,2.1,0.5,2,2
2025-08-25,Estrela,Alverca,2–2,2.5,1.1,2,2
,,,,,,,
2025-08-29,Gil Vicente FC,Moreirense,2–0,0.9,0.7,2,0
2025-08-30,Casa Pia,Nacional,0–2,0.7,1.3,0,2
2025-08-30,Vitória,Arouca,1–1,0.4,0.5,1,1
2025-08-30,AVS Futebol,Famalicão,0–1,0.7,0.8,0,1
2025-08-30,Sporting CP,Porto,1–2,1.0,1.5,1,2
2025-08-31,Tondela,Estoril,2–2,2.8,1.8,2,2
2025-08-31,Alverca,Benfica,1–2,0.8,1.0,1,2
2025-08-31,Santa Clara,Estrela,0–0,1.0,0.1,0,0
2025-08-31,Rio Ave,Braga,2–2,1.0,2.1,2,2
,,,,,,,
2025-09-06,Estoril,Santa Clara,0–1,0.8,2.1,0,1
,,,,,,,
,Home,Away,Score,,,,
2025-09-12,Benfica,Santa Clara,1–1,1.6,1.0,1,1
2025-09-12,Alverca,Tondela,1–0,1.5,2.2,1,0
2025-09-13,Moreirense,Rio Ave,3–1,2.2,1.2,3,1
2025-09-13,Estoril,AVS Futebol,3–1,2.0,0.9,3,1
2025-09-13,Porto,Nacional,1–0,2.2,0.1,1,0
2025-09-13,Famalicão,Sporting CP,1–2,0.9,2.2,1,2
2025-09-14,Estrela,Vitória,0–2,0.5,1.5,0,2
2025-09-14,Arouca,Casa Pia,0–2,0.5,1.4,0,2
2025-09-14,Braga,Gil Vicente FC,0–1,1.3,1.3,0,1
,,,,,,,
2025-09-19,Rio Ave,Porto,0–3,0.2,2.0,0,3
2025-09-20,Santa Clara,Alverca,2–1,1.6,0.4,2,1
2025-09-20,Nacional,Arouca,1–2,2.7,1.2,1,2
2025-09-20,AVS Futebol,Benfica,0–3,0.9,2.3,0,3
2025-09-20,Vitória,Braga,1–1,1.3,1.3,1,1
2025-09-21,Tondela,Estrela,0–0,1.2,1.0,0,0
2025-09-21,Gil Vicente FC,Estoril,2–0,2.5,0.3,2,0
2025-09-21,Casa Pia,Famalicão,1–1,1.1,2.1,1,1
2025-09-22,Sporting CP,Moreirense,3–0,5.0,0.1,3,0
,,,,,,,
2025-09-23,Benfica,Rio Ave,1–1,2.5,0.2,1,1
,,,,,,,
2025-09-26,Benfica,Gil Vicente FC,2–1,1.2,1.2,2,1
2025-09-27,Santa Clara,Tondela,1–2,2.0,1.5,1,2
2025-09-27,Moreirense,Casa Pia,2–1,1.0,1.7,2,1
2025-09-27,Estrela,AVS Futebol,3–0,2.6,0.8,3,0
2025-09-27,Estoril,Sporting CP,0–1,0.2,1.1,0,1
2025-09-28,Alverca,Vitória,2–0,1.9,1.2,2,0
2025-09-28,Braga,Nacional,0–1,0.6,1.9,0,1
2025-09-28,Famalicão,Rio Ave,0–0,2.4,0.5,0,0
2025-09-29,Arouca,Porto,0–4,0.7,2.9,0,4
,,,,,,,
2025-10-03,Casa Pia,Estoril,2–2,0.9,1.1,2,2
2025-10-04,Gil Vicente FC,Estrela,2–0,2.4,0.9,2,0
2025-10-04,Nacional,Moreirense,3–2,2.6,1.9,3,2
2025-10-04,AVS Futebol,Alverca,1–3,0.5,1.2,1,3
2025-10-04,Vitória,Santa Clara,2–1,1.9,1.1,2,1
2025-10-05,Arouca,Famalicão,1–1,0.7,1.7,1,1
2025-10-05,Rio Ave,Tondela,3–0,2.3,0.8,3,0
2025-10-05,Sporting CP,Braga,1–1,1.4,1.3,1,1
,Home,Away,Score,,,,
2025-10-05,Porto,Benfica,0–0,0.7,0.1,0,0
,,,,,,,
2025-10-24,Alverca,Gil Vicente FC,0–4,1.3,1.6,0,4
2025-10-25,Santa Clara,AVS Futebol,2–0,1.8,0.2,2,0
2025-10-25,Estrela,Rio Ave,1–2,0.8,0.9,1,2
2025-10-25,Benfica,Arouca,5–0,3.8,0.4,5,0
2025-10-26,Estoril,Nacional,1–1,1.7,1.4,1,1
2025-10-26,Famalicão,Vitória,2–0,1.7,0.5,2,0
2025-10-26,Tondela,Sporting CP,0–3,0.5,2.4,0,3
2025-10-26,Braga,Casa Pia,4–0,2.6,0.2,4,0
2025-10-27,Moreirense,Porto,1–2,0.3,1.8,1,2
,,,,,,,
2025-10-31,Sporting CP,Alverca,2–0,2.3,0.3,2,0
2025-11-01,Nacional,Famalicão,0–1,0.4,1.6,0,1
2025-11-01,Casa Pia,Estrela,3–5,1.0,2.2,3,5
2025-11-01,Rio Ave,Estoril,0–4,0.2,3.2,0,4
2025-11-01,Vitória,Benfica,0–3,0.3,2.1,0,3
2025-11-02,AVS Futebol,Tondela,2–2,0.9,1.9,2,2
2025-11-02,Arouca,Moreirense,0–2,0.6,0.7,0,2
2025-11-02,Porto,Braga,2–1,0.9,0.9,2,1
2025-11-03,Gil Vicente FC,Santa Clara,1–0,0.6,0.5,1,0
,,,,,,,
2025-11-07,Estoril,Arouca,4–3,2.0,1.1,4,3
2025-11-08,Alverca,Rio Ave,1–1,1.6,0.7,1,1
2025-11-08,Tondela,Vitória,0–1,1.4,1.3,0,1
2025-11-08,Santa Clara,Sporting CP,1–2,0.6,1.2,1,2
2025-11-09,AVS Futebol,Gil Vicente FC,1–1,1.8,2.1,1,1
2025-11-09,Estrela,Nacional,1–1,2.1,1.3,1,1
2025-11-09,Famalicão,Porto,0–1,0.2,1.2,0,1
2025-11-09,Braga,Moreirense,2–1,2.2,0.8,2,1
2025-11-09,Benfica,Casa Pia,2–2,2.1,1.2,2,2
,,,,,,,
2025-11-28,Vitória,AVS Futebol,4–0,1.6,1.1,4,0
2025-11-29,Moreirense,Famalicão,2–2,1.4,2.2,2,2
2025-11-29,Casa Pia,Alverca,0–2,0.2,1.5,0,2
2025-11-29,Nacional,Benfica,1–2,0.4,2.3,1,2
2025-11-29,Gil Vicente FC,Tondela,0–1,0.5,1.0,0,1
2025-11-30,Rio Ave,Santa Clara,1–1,2.1,1.0,1,1
2025-11-30,Sporting CP,Estrela,4–0,2.4,0.1,4,0
2025-11-30,Porto,Estoril,1–0,1.3,1.0,1,0
,Home,Away,Score,,,,
2025-12-01,Arouca,Braga,0–4,0.1,2.7,0,4
,,,,,,,
2025-12-05,Benfica,Sporting CP,1–1,0.9,0.6,1,1
2025-12-06,Santa Clara,Casa Pia,1–0,1.4,0.3,1,0
2025-12-06,AVS Futebol,Rio Ave,1–2,1.6,2.3,1,2
2025-12-06,Famalicão,Braga,1–2,1.4,2.6,1,2
2025-12-07,Estoril,Moreirense,3–3,1.9,2.3,3,3
2025-12-07,Estrela,Arouca,3–1,3.0,0.6,3,1
2025-12-07,Alverca,Nacional,1–0,1.9,0.9,1,0
2025-12-07,Tondela,Porto,0–2,0.5,1.9,0,2
2025-12-08,Vitória,Gil Vicente FC,0–0,0.5,0.2,0,0
,,,,,,,
2025-12-13,Casa Pia,Gil Vicente FC,1–1,0.1,0.8,1,1
2025-12-13,Rio Ave,Vitória,0–1,0.5,1.4,0,1
2025-12-13,Sporting CP,AVS Futebol,6–0,2.6,0.6,6,0
2025-12-14,Famalicão,Estoril,4–0,3.0,0.8,4,0
2025-12-14,Moreirense,Benfica,0–4,0.5,1.0,0,4
2025-12-14,Arouca,Alverca,1–0,1.6,0.2,1,0
