Squad,Home.xG,Home.xGA,Away.xG,Away.xGA
Porto,15.3,3.3,15.2,4.9
Sporting CP,21.2,4.3,16.7,6.1
Benfica,18.6,5.9,12.4,6.6
Gil Vicente FC,10.3,6.8,11.0,8.9
Braga,13.3,7.2,17.4,11.4
Moreirense,8.2,9.6,11.1,15.0
Vitória,9.5,11.3,8.1,10.4
Famalicão,13.6,10.2,10.8,8.7
Estoril,12.7,13.1,9.8,14.8
Alverca,14.0,11.3,6.5,11.1
Rio Ave,10.3,13.4,7.6,16.4
Estrela,14.8,12.7,6.5,13.8
Santa Clara,9.7,6.8,9.2,10.8
Nacional,11.9,16.0,10.3,12.7
Casa Pia,4.8,13.1,9.5,15.4
Arouca,7.2,14.0,5.2,15.8
Tondela,9.6,11.4,12.6,14.8
AVS Futebol,9.1,15.1,5.5,16.3
