Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Porto,17,16,1,0,36,4,32,49,2.88,30.6,8.2,22.4,1.32,W W W W W,44391,Samu Omorodion - 12,Diogo Costa,
2,Sporting CP,17,13,3,1,47,9,38,42,2.47,37.9,10.4,27.4,1.61,D W W W D,44077,Luis Javier Suárez - 15,Rui Silva,
3,Benfica,17,11,6,0,36,11,25,39,2.29,31.0,12.6,18.5,1.09,D W W D W,58827,Vangelis Pavlidis - 17,Anatolii Trubin,
4,Gil Vicente FC,17,7,7,3,22,12,10,28,1.65,21.3,15.6,5.6,0.33,D D D D D,6918,Pablo - 10,Andrew,
5,Braga,17,7,6,4,31,18,13,27,1.59,30.7,18.5,12.1,0.71,W W L D D,13331,"Ricardo Horta, Rodrigo Zalazar - 6",Lukáš Horníček,
6,Moreirense,17,8,3,6,24,24,0,27,1.59,19.3,24.6,-5.3,-0.31,D L D W W,3515,Guilherme Schettine - 9,Caio Secco,
7,Vitória,17,7,4,6,18,22,-4,25,1.47,17.6,21.7,-4.1,-0.24,D W L D W,14224,"Nélson Oliveira, Oumar Camara - 3",Juan Castillo,
8,Famalicão,17,6,5,6,20,14,6,23,1.35,24.4,19.0,5.4,0.32,L W L L L,4018,"Gustavo sá, Yassir Zabiri - 4",Lazar Carević,
9,Estoril,17,5,5,7,28,29,-1,20,1.18,22.5,27.9,-5.4,-0.32,D L W W L,2370,Yanis Begraoui - 8,Joel Robles,
10,Alverca,17,6,2,9,17,27,-10,20,1.18,20.5,22.4,-1.9,-0.11,W L L L W,3102,Marko Milovanović - 5,André Gomes,
11,Rio Ave,17,4,8,5,22,29,-7,20,1.18,18.0,29.8,-11.8,-0.69,W L D L W,2638,Clayton - 10,Cezary Miszta,
12,Estrela,17,4,7,6,23,27,-4,19,1.12,21.4,26.5,-5.1,-0.3,W L D W D,3636,Kikas - 6,Renan Ribeiro,
13,Santa Clara,17,4,5,8,14,19,-5,17,1.0,18.9,17.6,1.3,0.07,W L D L D,2346,Vinícius - 5,Gabriel Batista,
14,Nacional,17,4,5,8,21,26,-5,17,1.0,22.2,28.7,-6.5,-0.38,L W D L D,2807,Jesús Ramírez - 12,Kaique,
15,Casa Pia,17,3,5,9,17,32,-15,14,0.82,14.3,28.5,-14.2,-0.84,L D W D L,1276,Jérémy Livolant - 3,Patrick Sequeira,
16,Arouca,17,3,5,9,18,42,-24,14,0.82,12.4,29.8,-17.4,-1.03,L W D D L,1586,Alfonso Trezza - 6,João Valido,
17,Tondela,17,3,3,11,12,29,-17,12,0.71,22.2,26.3,-4.1,-0.24,L L L W L,2120,Maranhão - 3,Bernardo Fontes,
18,AVS Futebol,17,0,4,13,11,43,-32,4,0.24,14.6,31.4,-16.8,-0.99,L L D L L,1364,"Nenê, Óscar Perea - 2",Simão Bertelli,
