Squad,GF,GA,xG,xGA,Pts
Porto,36,4,30.6,8.2,49
Sporting CP,47,9,37.9,10.4,42
Benfica,36,11,31.0,12.6,39
Gil Vicente FC,22,12,21.3,15.6,28
Braga,31,18,30.7,18.5,27
Moreirense,24,24,19.3,24.6,27
Vitória,18,22,17.6,21.7,25
Famalicão,20,14,24.4,19.0,23
Estoril,28,29,22.5,27.9,20
Alverca,17,27,20.5,22.4,20
Rio Ave,22,29,18.0,29.8,20
Estrela,23,27,21.4,26.5,19
Santa Clara,14,19,18.9,17.6,17
Nacional,21,26,22.2,28.7,17
Casa Pia,17,32,14.3,28.5,14
Arouca,18,42,12.4,29.8,14
Tondela,12,29,22.2,26.3,12
AVS Futebol,11,43,14.6,31.4,4
