Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2023-08-11,21:00 (02:00),Al-Ahli,3–1,Al-Hazem,24006,Prince Abdullah Al Faisal Stadium,Khalid Saleh Al Turais,Match Report,
1,Sat,2023-08-12,18:00 (23:00),Al-Ta'ee,1–0,Damac,1750,Prince Abdul Aziz bin Musa'ed Stadium,Abdullah Saleh Al Harbi,Match Report,
1,Sat,2023-08-12,21:00 (02:00),Al-Fayha,3–1,Al-Khaleej,1518,Al Majma'ah Sport City,Faisal Suleiman Al Balawi,Match Report,
1,Sun,2023-08-13,21:00 (02:00),Al-Riyadh SC,1–0,Al-Wehda,1419,Prince Faisal bin Fahd Stadium,Mamdouh Mufreh Al Shahdan,Match Report,
1,Sun,2023-08-13,21:00 (02:00),Al-Fateh,1–1,Al-Taawoun,5242,Prince Abdullah bin Jalawi Stadium,Sami Ahmed Al Jurays,Match Report,
1,Mon,2023-08-14,18:00 (23:00),Abha,1–3,Al-Hilal,7079,Prince Sultan bin Abdul Aziz Stadium,Radu Petrescu,Match Report,
1,Mon,2023-08-14,18:00 (23:00),Al-Raed,0–3,Al-Ittihad,4149,Prince Abdullah bin Abdul Aziz Stadium,Luís Godinho,Match Report,
1,Mon,2023-08-14,21:00 (02:00),Al-Ettifaq,2–1,Al-Nassr,13930,Prince Mohammed bin Fahad bin Abdulaziz ...,Mohammed Khaled Al Hoish,Match Report,
1,Mon,2023-08-14,21:00 (02:00),Al-Shabab,1–1,Al Okhdood SC,1974,Prince Faisal bin Fahd Stadium,Majed Mohammed Al Shamrani,Match Report,
,,,,,,,,,,,
2,Thu,2023-08-17,18:00 (23:00),Damac,2–2,Al-Riyadh SC,1109,Damac Club Stadium,Abdullah Khaled Al Kharboush,Match Report,
2,Thu,2023-08-17,21:00 (02:00),Al-Khaleej,1–3,Al-Ahli,14550,Prince Mohammed bin Fahad bin Abdulaziz ...,Majed Mohammed Al Shamrani,Match Report,
2,Fri,2023-08-18,18:00 (23:00),Al Okhdood SC,1–3,Al-Fateh,1255,Prince Hathloul bin Abdulaziz Sports Cit...,Abdullah Dhafer Al Shehri,Match Report,
2,Fri,2023-08-18,21:00 (02:00),Al-Hazem,0–2,Al-Ettifaq,1024,Ar-Rass Stadium,Raed Ali Al Zahrani,Match Report,
2,Fri,2023-08-18,21:00 (02:00),Al-Nassr,0–2,Al-Taawoun,20096,Al Awwal Park Stadium,Khalid Saleh Al Turais,Match Report,
2,Fri,2023-08-18,21:00 (02:00),Al-Wehda,3–1,Al-Shabab,3000,King Abdul Aziz Stadium,Shukri Hussein Al Hunfush,Match Report,
2,Sat,2023-08-19,18:00 (23:00),Abha,1–0,Al-Raed,817,Prince Sultan bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
2,Sat,2023-08-19,21:00 (02:00),Al-Hilal,1–1,Al-Fayha,59600,King Fahd International Stadium,Yael Falcón,Match Report,
2,Sat,2023-08-19,21:00 (02:00),Al-Ittihad,2–0,Al-Ta'ee,21460,Prince Abdullah Al Faisal Stadium,César Arturo Ramos,Match Report,
,,,,,,,,,,,
3,Thu,2023-08-24,18:00 (23:00),Al-Ta'ee,0–3,Al-Wehda,2217,Prince Abdul Aziz bin Musa'ed Stadium,Mohammed Abdulrahman Al Baridi,Match Report,
3,Thu,2023-08-24,21:00 (02:00),Al-Ettifaq,1–1,Al-Khaleej,4200,Prince Mohammed bin Fahad bin Abdulaziz ...,Ahmed Mohammed Al Rumaikhani,Match Report,
3,Thu,2023-08-24,21:00 (02:00),Al-Riyadh SC,0–4,Al-Ittihad,8618,Prince Faisal bin Fahd Stadium,Iván Barton,Match Report,
3,Thu,2023-08-24,21:00 (02:00),Al-Raed,0–4,Al-Hilal,20630,Prince Abdullah bin Abdul Aziz Stadium,César Arturo Ramos,Match Report,
