Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Al-Hilal,17,16,1,0,50,9,41,49,2.88,17,15,2,0,51,14,37,47,2.76
2,Al-Nassr,17,12,3,2,50,23,27,39,2.29,17,14,1,2,50,19,31,43,2.53
3,Al-Ahli,17,11,4,2,29,10,19,37,2.18,17,8,4,5,38,25,13,28,1.65
4,Al-Taawoun,17,9,3,5,28,19,9,30,1.76,17,7,8,2,23,16,7,29,1.71
5,Al-Ittihad,17,9,2,6,34,32,2,29,1.71,17,7,4,6,29,22,7,25,1.47
6,Al-Ettifaq,17,6,7,4,22,19,3,25,1.47,17,6,5,6,21,15,6,23,1.35
7,Al-Fateh,17,6,5,6,28,25,3,23,1.35,17,6,4,7,29,30,-1,22,1.29
8,Al-Shabab,17,8,3,6,31,22,9,27,1.59,17,4,5,8,14,20,-6,17,1.0
9,Al-Fayha,17,4,7,6,18,23,-5,19,1.12,17,7,4,6,26,29,-3,25,1.47
10,Damac,17,6,6,5,26,19,7,24,1.41,17,4,5,8,18,26,-8,17,1.0
11,Al-Khaleej,17,3,6,8,19,26,-7,15,0.88,17,6,4,7,17,21,-4,22,1.29
12,Al-Raed,17,5,4,8,20,25,-5,19,1.12,17,4,6,7,21,24,-3,18,1.06
13,Al-Wehda,17,6,4,7,31,28,3,22,1.29,17,4,2,11,14,32,-18,14,0.82
14,Al-Riyadh SC,17,4,7,6,15,22,-7,19,1.12,17,4,4,9,18,35,-17,16,0.94
15,Al Okhdood SC,17,6,1,10,20,25,-5,19,1.12,17,3,5,9,13,27,-14,14,0.82
16,Abha,17,9,3,5,22,30,-8,30,1.76,17,0,2,15,16,57,-41,2,0.12
17,Al-Ta'ee,17,6,4,7,22,29,-7,22,1.29,17,2,3,12,12,35,-23,9,0.53
18,Al-Hazem,17,3,5,9,17,41,-24,14,0.82,17,1,7,9,17,35,-18,10,0.59
