Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Al-Hilal,34,31,3,0,101,23,78,96,2.82,21824,Aleksandar Mitrović - 28,Yassine Bounou,
2,Al-Nassr,34,26,4,4,100,42,58,82,2.41,17821,Cristiano Ronaldo - 35,Nawaf Al Aqidi,
3,Al-Ahli,34,19,8,7,67,35,32,65,1.91,24370,Firas Al-Buraikan - 13,Edouard Mendy,
4,Al-Taawoun,34,16,11,7,51,35,16,59,1.74,6816,João Pedro Pereira dos Santos - 11,Mailson,
5,Al-Ittihad,34,16,6,12,63,54,9,54,1.59,17970,Abderrazak Hamdallah - 19,Marcelo Grohe,
6,Al-Ettifaq,34,12,12,10,43,34,9,48,1.41,7311,Moussa Dembélé - 12,Paulo Victor Vidotti,
7,Al-Fateh,34,12,9,13,57,55,2,45,1.32,8234,Cristian Tello - 11,Jacob Rinne,
8,Al-Shabab,34,12,8,14,45,42,3,44,1.29,6559,Yannick Carrasco - 7,Kim Seung-gyu,
9,Al-Fayha,34,11,11,12,44,52,-8,44,1.29,2301,Fashion Sakala - 19,Vladimir Stojković,
10,Damac,34,10,11,13,44,45,-1,41,1.21,4334,Georges-Kévin N'Koudou - 15,Moustapha Zeghba,
11,Al-Khaleej,34,9,10,15,36,47,-11,37,1.09,5356,"Khaled Narey, Fábio Martins - 7",Ibrahim Šehić,
12,Al-Raed,34,9,10,15,41,49,-8,37,1.09,6342,Karim El Berkaoui - 12,André Moreira,
13,Al-Wehda,34,10,6,18,45,60,-15,36,1.06,2633,Odion Ighalo - 15,Munir,
14,Al-Riyadh SC,34,8,11,15,33,57,-24,35,1.03,1861,Saleh Al Abbas - 8,Martín Campaña,
15,Al Okhdood SC,34,9,6,19,33,52,-19,33,0.97,2243,"Saviour Godwin, Andrei Burcă - 6",Paulo Vítor Fagundes dos Anjos,
16,Abha,34,9,5,20,38,87,-49,32,0.94,3056,Grzegorz Krychowiak - 9,Ciprian Tătărușanu,Relegated
17,Al-Ta'ee,34,8,7,19,34,64,-30,31,0.91,6146,Bernard Mensah - 14,Victor Braga,Relegated
18,Al-Hazem,34,4,12,18,34,76,-42,24,0.71,1671,Tozé - 9,Aymen Dahmen,Relegated
