Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Al Kholood Saudi Club,28,34.0,62,1,0,363,401,48,404,338,347,,,1
Al Okhdood SC,27,34.0,84,5,3,444,339,87,635,346,353,,,3
Al-Ahli,29,34.0,85,2,1,503,392,90,600,324,433,,,3
Al-Ettifaq,27,34.0,71,3,0,390,353,42,588,286,304,,,1
Al-Fateh,32,34.0,70,5,1,471,395,47,698,318,370,,,5
Al-Fayha,28,34.0,77,3,0,431,362,90,515,300,381,,,2
Al-Hilal,28,34.0,51,1,0,413,367,70,742,320,363,,,0
Al-Ittihad,28,34.0,59,1,0,362,335,78,538,338,363,,,1
Al-Khaleej,28,34.0,72,2,0,339,433,60,571,337,384,,,2
Al-Nassr,28,34.0,79,5,2,405,422,99,714,328,400,,,3
Al-Orobah,30,34.0,77,2,0,396,386,43,528,325,379,,,2
Al-Qadsiah,27,34.0,67,2,0,420,355,45,843,312,427,,,1
Al-Raed,33,34.0,86,5,3,343,400,76,401,343,356,,,1
Al-Riyadh SC,28,34.0,69,5,1,374,358,74,623,264,343,,,1
Al-Shabab,32,34.0,76,4,2,380,338,85,578,325,368,,,0
Al-Taawoun,30,34.0,76,8,5,397,379,75,562,340,406,,,1
Al-Wehda,27,34.0,71,2,2,362,360,62,513,328,357,,,2
Damac,28,34.0,73,7,3,381,439,71,463,293,391,,,2
