Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Al-Ittihad,34,26,5,3,79,35,44,83,2.44,34960,Karim Benzema - 21,Predrag Rajković,
2,Al-Hilal,34,23,6,5,95,41,54,75,2.21,17750,Aleksandar Mitrović - 19,Yassine Bounou,
3,Al-Nassr,34,21,7,6,80,38,42,70,2.06,16292,Cristiano Ronaldo - 25,Bento,
4,Al-Qadsiah,34,21,5,8,53,31,22,68,2.0,9906,Julián Quiñones - 20,Koen Casteels,
5,Al-Ahli,34,21,4,9,69,36,33,67,1.97,20825,Ivan Toney - 23,Edouard Mendy,
6,Al-Shabab,34,18,6,10,65,41,24,60,1.76,5243,Abderrazak Hamdallah - 21,Abdullah Al-Mayouf,
7,Al-Ettifaq,34,14,8,12,44,45,-1,50,1.47,5761,Georginio Wijnaldum - 14,Marek Rodák,
8,Al-Taawoun,34,12,9,13,40,39,1,45,1.32,5148,Musa Barrow - 13,Abdulquddus Atiah,
9,Al Kholood Saudi Club,34,12,4,18,42,64,-22,40,1.18,2746,Myziane Maolida - 15,Marcelo Grohe,
10,Al-Fateh,34,11,6,17,47,61,-14,39,1.15,7684,Mourad Batna - 13,Péter Szappanos,
11,Al-Riyadh SC,34,10,8,16,37,52,-15,38,1.12,1948,Faïz Selemani - 6,Milan Borjan,
12,Al-Khaleej,34,10,7,17,40,57,-17,37,1.09,4623,Abdulla Al Salem - 10,Ibrahim Šehić,
13,Al-Fayha,34,8,12,14,27,49,-22,36,1.06,1443,"Renzo López, Fashion Sakala - 8",Orlando Mosquera,
14,Damac,34,9,8,17,37,50,-13,35,1.03,5022,Georges-Kévin N'Koudou - 13,Florin Niță,
15,Al Okhdood SC,34,9,7,18,33,56,-23,34,1.0,1635,Saviour Godwin - 7,Paulo Vítor Fagundes dos Anjos,
16,Al-Wehda,34,9,6,19,42,67,-25,33,0.97,3316,Abdulaziz Noor - 7,Abdullah Al-Owaishir,Relegated
17,Al-Orobah,34,9,3,22,31,74,-43,30,0.88,2307,Omar Al Somah - 11,Gaëtan Coucke,Relegated
18,Al-Raed,34,6,3,25,41,66,-25,21,0.62,3761,Karim El Berkaoui - 11,Meshari Sunyur,Relegated
