Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Al Kholood Saudi Club,21,28.6,46.2,13,143,1170,13.0,18,7,25,16,2,4,18,2,1.38,0.54,1.92,1.23,1.77
Al Okhdood SC,25,29.2,41.1,12,132,1080,12.0,9,8,17,9,0,0,28,4,0.75,0.67,1.42,0.75,1.42
Al Suqoor Saudi Club,25,26.5,51.9,12,132,1080,12.0,17,10,27,15,2,2,27,1,1.42,0.83,2.25,1.25,2.08
Al-Ahli,25,26.7,49.6,12,132,1080,12.0,18,12,30,16,2,2,31,4,1.5,1.0,2.5,1.33,2.33
Al-Ettifaq,24,30.0,51.2,13,143,1170,13.0,22,16,38,19,3,3,25,1,1.69,1.23,2.92,1.46,2.69
Al-Fateh,28,28.9,44.0,12,132,1080,12.0,15,9,24,12,3,3,33,3,1.25,0.75,2.0,1.0,1.75
Al-Fayha,26,30.2,48.9,12,132,1080,12.0,11,8,19,11,0,0,19,2,0.92,0.67,1.58,0.92,1.58
Al-Hazem,26,27.8,46.5,13,143,1170,13.0,11,6,17,8,3,5,33,1,0.85,0.46,1.31,0.62,1.08
Al-Hilal,27,28.8,59.9,13,143,1170,13.0,34,24,58,31,3,3,20,2,2.62,1.85,4.46,2.38,4.23
Al-Ittihad,30,29.2,62.9,13,143,1170,13.0,25,20,45,24,1,2,21,3,1.92,1.54,3.46,1.85,3.38
Al-Khaleej,25,32.2,51.2,13,143,1170,13.0,30,25,55,27,3,3,30,3,2.31,1.92,4.23,2.08,4.0
Al-Najma,24,28.3,46.5,13,143,1170,13.0,11,6,17,9,2,2,23,3,0.85,0.46,1.31,0.69,1.15
Al-Nassr,24,29.5,61.1,13,143,1170,13.0,38,28,66,34,4,5,24,1,2.92,2.15,5.08,2.62,4.77
Al-Qadsiah,24,28.6,57.6,13,143,1170,13.0,26,15,41,23,3,3,23,0,2.0,1.15,3.15,1.77,2.92
Al-Riyadh SC,25,29.6,38.3,12,132,1080,12.0,10,8,18,9,1,1,19,2,0.83,0.67,1.5,0.75,1.42
Al-Shabab,26,28.3,44.4,13,143,1170,13.0,8,3,11,4,4,4,30,5,0.62,0.23,0.85,0.31,0.54
Al-Taawoun,27,28.7,49.9,13,143,1170,13.0,27,20,47,25,2,2,25,1,2.08,1.54,3.62,1.92,3.46
Damac,22,28.4,47.6,13,143,1170,13.0,8,5,13,6,2,2,29,5,0.62,0.38,1.0,0.46,0.85
