Rk,球队,场次,W,D,L,进球,失球,净胜球,积分,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Al-Hilal,13,11,2,0,35,12,23,35,2.69,W W W W W,16540.0,Marcos Leonardo - 7,Yassine Bounou,
2,Al-Nassr,13,10,1,2,38,12,26,31,2.38,W W D L L,22383.0,Cristiano Ronaldo - 14,Nawaf Al Aqidi,
3,Al-Taawoun,13,10,1,2,29,14,15,31,2.38,D W W L W,6603.0,Roger Martínez - 8,Mailson,
4,Al-Qadsiah,13,8,3,2,26,13,13,27,2.08,L D W W W,5539.0,Julián Quiñones - 9,Koen Casteels,
5,Al-Ittihad,13,8,2,3,27,16,11,26,2.0,W W W W W,31709.0,Karim Benzema - 7,Predrag Rajković,
6,Al-Ahli,12,7,4,1,18,10,8,25,2.08,W W L W W,32114.0,Ivan Toney - 8,Edouard Mendy,
7,Al-Ettifaq,13,6,4,3,23,23,0,22,1.69,W W D W W,1932.0,Georginio Wijnaldum - 9,Marek Rodák,
8,Al Suqoor Saudi Club,12,6,2,4,18,19,-1,20,1.67,L D W L W,2169.0,Alexandre Lacazette - 5,Luís Maximiano,
9,Al-Khaleej,13,5,3,5,30,21,9,18,1.38,L L L D W,,Joshua King - 12,Anthony Moris,
10,Al-Fateh,12,4,2,6,15,22,-7,14,1.17,L L W W W,10519.0,Matías Vargas - 5,Fernando Pacheco,
11,Al-Hazem,13,3,4,6,11,20,-9,13,1.0,W D W L L,10520.0,"Omar Al Somah, Fábio Martins - 3",Bruno Varela,
12,Al Kholood Saudi Club,13,4,0,9,19,26,-7,12,0.92,L L L W L,,Ramiro Enrique - 7,Juan Cozzani,
13,Al-Fayha,12,3,3,6,11,20,-9,12,1.0,W L D L L,,"Silvère Ganvoula M'Boussy, Jason... - 2",Orlando Mosquera,
14,Damac,13,1,6,6,10,24,-14,9,0.69,D D W L L,,Valentín Vada - 6,Kewin,
15,Al-Shabab,13,1,5,7,9,20,-11,8,0.62,D L L L L,1895.0,Yannick Carrasco - 5,Marcelo Grohe,
16,Al-Riyadh SC,12,2,2,8,11,27,-16,8,0.67,D L L L L,891.0,Mamadou Sylla - 6,Milan Borjan,
17,Al Okhdood SC,12,1,2,9,9,24,-15,5,0.42,L D L L L,1214.0,"Khaled Narey, Saeed Al Rubaie... - 2",Samuel Portugal,
18,Al-Najma,13,0,2,11,13,29,-16,2,0.15,D L L D L,6436.0,Lázaro - 4,Victor Braga,
