Date,Home,Away,Score,HomeGoals,AwayGoals
2025-08-28,Damac,Al-Hazem,1–1,1,1
2025-08-28,Al-Ahli,Al Suqoor Saudi Club,1–0,1,0
2025-08-28,Al-Ettifaq,Al Kholood Saudi Club,2–1,2,1
2025-08-29,Al-Hilal,Al-Riyadh SC,2–0,2,0
2025-08-29,Al-Shabab,Al-Khaleej,1–4,1,4
2025-08-29,Al-Taawoun,Al-Nassr,0–5,0,5
2025-08-30,Al-Fateh,Al-Fayha,1–2,1,2
2025-08-30,Al-Qadsiah,Al-Najma,3–1,3,1
2025-08-30,Al Okhdood SC,Al-Ittihad,2–5,2,5
,,,,,
2025-09-12,Al-Ettifaq,Al-Ahli,0–0,0,0
2025-09-12,Al-Shabab,Al-Hazem,1–0,1,0
2025-09-12,Al-Ittihad,Al-Fateh,4–2,4,2
2025-09-13,Al-Khaleej,Al-Fayha,3–0,3,0
2025-09-13,Al Okhdood SC,Al-Taawoun,2–3,2,3
2025-09-13,Al-Hilal,Al-Qadsiah,2–2,2,2
2025-09-14,Al-Riyadh SC,Al-Najma,2–1,2,1
2025-09-14,Damac,Al Suqoor Saudi Club,1–2,1,2
2025-09-14,Al-Nassr,Al Kholood Saudi Club,2–0,2,0
,,,,,
2025-09-18,Al Kholood Saudi Club,Damac,2–1,2,1
2025-09-18,Al-Taawoun,Al-Ettifaq,4–1,4,1
2025-09-18,Al Suqoor Saudi Club,Al Okhdood SC,1–0,1,0
2025-09-19,Al-Qadsiah,Al-Khaleej,2–1,2,1
2025-09-19,Al-Fayha,Al-Shabab,0–0,0,0
2025-09-19,Al-Ahli,Al-Hilal,3–3,3,3
2025-09-20,Al-Hazem,Al-Fateh,0–0,0,0
2025-09-20,Al-Najma,Al-Ittihad,0–1,0,1
2025-09-20,Al-Nassr,Al-Riyadh SC,5–1,5,1
,,,,,
2025-09-25,Al-Khaleej,Al-Taawoun,0–1,0,1
2025-09-25,Al-Shabab,Al Kholood Saudi Club,1–2,1,2
2025-09-25,Al-Hilal,Al Okhdood SC,3–1,3,1
2025-09-26,Al-Hazem,Al-Ahli,0–2,0,2
2025-09-26,Damac,Al-Ettifaq,1–3,1,3
2025-09-26,Al-Ittihad,Al-Nassr,0–2,0,2
2025-09-27,Al-Riyadh SC,Al Suqoor Saudi Club,2–3,2,3
2025-09-27,Al-Najma,Al-Fayha,1–2,1,2
2025-09-27,Al-Fateh,Al-Qadsiah,0–1,0,1
,,,,,
,Home,Away,Score,,
2025-10-17,Al-Fayha,Al-Ittihad,1–1,1,1
2025-10-17,Al Kholood Saudi Club,Al-Najma,5–1,5,1
2025-10-17,Al-Ahli,Al-Shabab,1–1,1,1
2025-10-18,Al-Ettifaq,Al-Hilal,0–5,0,5
