Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Al-Hilal,14,12,2,0,38,13,25,38,2.71,W W W W W,18420.0,Marcos Leonardo - 7,Yassine Bounou,
2,Al-Ahli,14,9,4,1,21,11,10,31,2.21,L W W W W,32114.0,Ivan Toney - 10,Edouard Mendy,
3,Al-Nassr,14,10,1,3,39,15,24,31,2.21,W D L L L,22383.0,Cristiano Ronaldo - 15,Nawaf Al Aqidi,
4,Al-Taawoun,14,10,1,3,30,16,14,31,2.21,W W L W L,6603.0,Roger Martínez - 9,Mailson,
5,Al-Qadsiah,14,9,3,2,31,13,18,30,2.14,D W W W W,5539.0,Julián Quiñones - 12,Koen Casteels,
6,Al-Ittihad,14,8,3,3,28,17,11,27,1.93,W W W W D,31709.0,Karim Benzema - 7,Predrag Rajković,
7,Al-Ettifaq,14,6,4,4,24,25,-1,22,1.57,W D W W L,1932.0,Georginio Wijnaldum - 9,Marek Rodák,
8,Al-Khaleej,14,6,3,5,32,22,10,21,1.5,L L D W W,,Joshua King - 12,Anthony Moris,
9,Al-Fateh,14,6,2,6,19,23,-4,20,1.43,W W W W W,9812.0,Matías Vargas - 5,Fernando Pacheco,
10,Al Suqoor Saudi Club,14,6,2,6,20,23,-3,20,1.43,W L W L L,2169.0,"Alexandre Lacazette, Saïd Benrahma - 5",Luís Maximiano,
11,Al-Hazem,14,4,4,6,14,22,-8,16,1.14,D W L L W,10520.0,"Omar Al Somah, Fábio Martins... - 3",Bruno Varela,
12,Al-Fayha,14,3,4,7,12,26,-14,13,0.93,D L L D L,,"Silvère Ganvoula M'Boussy, Jason... - 2",Orlando Mosquera,
13,Al Kholood Saudi Club,14,4,0,10,19,27,-8,12,0.86,L L W L L,,Ramiro Enrique - 7,Juan Cozzani,
14,Al-Shabab,14,2,5,7,12,22,-10,11,0.79,L L L L W,1895.0,Yannick Carrasco - 7,Marcelo Grohe,
15,Damac,14,1,7,6,11,25,-14,10,0.71,D W L L D,,Valentín Vada - 6,Kewin,
16,Al-Riyadh SC,14,2,3,9,13,31,-18,9,0.64,L L L D L,891.0,Mamadou Sylla - 6,Milan Borjan,
17,Al Okhdood SC,14,2,2,10,10,25,-15,8,0.57,L L L L W,1214.0,"Khaled Narey, Saeed Al Rubaie... - 2",Samuel Portugal,
18,Al-Najma,14,0,2,12,15,32,-17,2,0.14,L L D L L,6436.0,Lázaro - 4,Victor Braga,
