Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-08-23,Sassuolo,Napoli,0–2,0.4,1.2,0,2
2025-08-23,Genoa,Lecce,0–0,0.5,0.4,0,0
2025-08-23,Roma,Bologna,1–0,1.6,0.6,1,0
2025-08-23,Milan,Cremonese,1–2,1.8,0.2,1,2
2025-08-24,Como,Lazio,2–0,1.3,0.3,2,0
2025-08-24,Cagliari,Fiorentina,1–1,1.1,1.0,1,1
2025-08-24,Atalanta,Pisa,1–1,1.9,0.6,1,1
2025-08-24,Juventus,Parma,2–0,2.3,0.6,2,0
2025-08-25,Udinese,Hellas Verona,1–1,0.7,0.5,1,1
2025-08-25,Inter,Torino,5–0,1.6,0.9,5,0
,,,,,,,
2025-08-29,Cremonese,Sassuolo,3–2,2.7,1.3,3,2
2025-08-29,Lecce,Milan,0–2,0.3,1.8,0,2
2025-08-30,Parma,Atalanta,1–1,0.7,0.8,1,1
2025-08-30,Bologna,Como,1–0,1.1,0.7,1,0
2025-08-30,Napoli,Cagliari,1–0,1.5,0.5,1,0
2025-08-30,Pisa,Roma,0–1,0.6,0.8,0,1
2025-08-31,Torino,Fiorentina,0–0,1.0,1.7,0,0
2025-08-31,Genoa,Juventus,0–1,0.5,0.9,0,1
2025-08-31,Inter,Udinese,1–2,1.8,1.1,1,2
2025-08-31,Lazio,Hellas Verona,4–0,4.1,0.9,4,0
,,,,,,,
2025-09-13,Cagliari,Parma,2–0,1.1,1.9,2,0
2025-09-13,Juventus,Inter,4–3,0.7,0.9,4,3
2025-09-13,Fiorentina,Napoli,1–3,1.4,2.7,1,3
2025-09-14,Roma,Torino,0–1,1.1,0.6,0,1
2025-09-14,Atalanta,Lecce,4–1,2.1,0.5,4,1
2025-09-14,Pisa,Udinese,0–1,0.5,1.0,0,1
2025-09-14,Sassuolo,Lazio,1–0,1.1,0.8,1,0
2025-09-14,Milan,Bologna,1–0,1.0,0.2,1,0
2025-09-15,Hellas Verona,Cremonese,0–0,1.5,0.2,0,0
2025-09-15,Como,Genoa,1–1,1.8,2.2,1,1
,,,,,,,
2025-09-19,Lecce,Cagliari,1–2,1.0,2.2,1,2
2025-09-20,Bologna,Genoa,2–1,1.6,0.5,2,1
2025-09-20,Hellas Verona,Juventus,1–1,1.5,0.5,1,1
2025-09-20,Udinese,Milan,0–3,0.3,1.4,0,3
2025-09-21,Lazio,Roma,0–1,1.0,1.1,0,1
2025-09-21,Cremonese,Parma,0–0,0.1,0.8,0,0
2025-09-21,Torino,Atalanta,0–3,1.2,1.6,0,3
,Home,Away,Score,,,,
2025-09-21,Fiorentina,Como,1–2,0.5,1.2,1,2
2025-09-21,Inter,Sassuolo,2–1,1.9,0.9,2,1
2025-09-22,Napoli,Pisa,3–2,1.1,2.4,3,2
,,,,,,,
2025-09-27,Como,Cremonese,1–1,1.3,0.4,1,1
2025-09-27,Juventus,Atalanta,1–1,1.5,0.7,1,1
2025-09-27,Cagliari,Inter,0–2,0.2,2.8,0,2
2025-09-28,Sassuolo,Udinese,3–1,1.2,1.4,3,1
2025-09-28,Pisa,Fiorentina,0–0,0.7,0.9,0,0
2025-09-28,Roma,Hellas Verona,2–0,0.9,1.4,2,0
2025-09-28,Lecce,Bologna,2–2,1.8,1.3,2,2
2025-09-28,Milan,Napoli,2–1,0.7,2.5,2,1
2025-09-29,Parma,Torino,2–1,1.3,0.8,2,1
2025-09-29,Genoa,Lazio,0–3,1.6,1.2,0,3
,,,,,,,
2025-10-03,Hellas Verona,Sassuolo,0–1,0.8,1.7,0,1
2025-10-04,Parma,Lecce,0–1,0.6,0.5,0,1
2025-10-04,Lazio,Torino,3–3,1.3,1.8,3,3
2025-10-04,Inter,Cremonese,4–1,3.6,0.6,4,1
2025-10-04,Atalanta,Como,1–1,1.4,1.3,1,1
2025-10-05,Udinese,Cagliari,1–1,2.7,0.9,1,1
2025-10-05,Bologna,Pisa,4–0,3.5,0.0,4,0
2025-10-05,Fiorentina,Roma,1–2,1.1,1.4,1,2
2025-10-05,Napoli,Genoa,2–1,1.3,0.4,2,1
2025-10-05,Juventus,Milan,0–0,1.1,1.8,0,0
,,,,,,,
2025-10-18,Pisa,Hellas Verona,0–0,0.5,1.4,0,0
2025-10-18,Lecce,Sassuolo,0–0,0.7,0.4,0,0
2025-10-18,Torino,Napoli,1–0,2.3,2.1,1,0
2025-10-18,Roma,Inter,0–1,1.3,0.6,0,1
2025-10-19,Como,Juventus,2–0,1.5,0.9,2,0
2025-10-19,Cagliari,Bologna,0–2,0.3,1.1,0,2
2025-10-19,Genoa,Parma,0–0,2.2,0.0,0,0
2025-10-19,Atalanta,Lazio,0–0,2.0,0.3,0,0
2025-10-19,Milan,Fiorentina,2–1,1.9,1.1,2,1
2025-10-20,Cremonese,Udinese,1–1,1.1,0.7,1,1
,,,,,,,
2025-10-24,Milan,Pisa,2–2,1.5,1.5,2,2
2025-10-25,Udinese,Lecce,3–2,1.0,0.4,3,2
2025-10-25,Parma,Como,0–0,0.6,0.4,0,0
,Home,Away,Score,,,,
2025-10-25,Napoli,Inter,3–1,1.3,1.8,3,1
2025-10-25,Cremonese,Atalanta,1–1,1.0,1.1,1,1
2025-10-26,Torino,Genoa,2–1,1.3,2.1,2,1
2025-10-26,Sassuolo,Roma,0–1,1.0,1.7,0,1
2025-10-26,Hellas Verona,Cagliari,2–2,1.9,0.4,2,2
2025-10-26,Fiorentina,Bologna,2–2,3.4,1.0,2,2
2025-10-26,Lazio,Juventus,1–0,0.8,1.5,1,0
,,,,,,,
2025-10-28,Lecce,Napoli,0–1,1.1,0.8,0,1
2025-10-28,Atalanta,Milan,1–1,1.3,0.4,1,1
2025-10-29,Como,Hellas Verona,3–1,1.5,1.5,3,1
2025-10-29,Juventus,Udinese,3–1,3.1,0.5,3,1
2025-10-29,Roma,Parma,2–1,1.0,1.1,2,1
2025-10-29,Genoa,Cremonese,0–2,1.3,1.3,0,2
2025-10-29,Inter,Fiorentina,3–0,2.6,0.7,3,0
2025-10-29,Bologna,Torino,0–0,0.4,0.5,0,0
2025-10-30,Cagliari,Sassuolo,1–2,0.7,0.6,1,2
2025-10-30,Pisa,Lazio,0–0,0.9,0.5,0,0
,,,,,,,
2025-11-01,Udinese,Atalanta,1–0,0.5,0.4,1,0
2025-11-01,Napoli,Como,0–0,0.9,1.1,0,0
2025-11-01,Cremonese,Juventus,1–2,0.5,1.9,1,2
2025-11-02,Hellas Verona,Inter,1–2,0.4,1.1,1,2
2025-11-02,Torino,Pisa,2–2,0.9,1.5,2,2
2025-11-02,Fiorentina,Lecce,0–1,1.4,1.2,0,1
2025-11-02,Parma,Bologna,1–3,0.5,2.7,1,3
2025-11-02,Milan,Roma,1–0,3.3,1.8,1,0
2025-11-03,Sassuolo,Genoa,1–2,0.8,1.7,1,2
2025-11-03,Lazio,Cagliari,2–0,0.7,1.5,2,0
,,,,,,,
2025-11-07,Pisa,Cremonese,1–0,0.9,1.0,1,0
2025-11-08,Lecce,Hellas Verona,0–0,0.5,0.6,0,0
2025-11-08,Como,Cagliari,0–0,1.0,0.6,0,0
2025-11-08,Juventus,Torino,0–0,1.2,0.7,0,0
2025-11-08,Parma,Milan,2–2,1.9,2.1,2,2
2025-11-09,Atalanta,Sassuolo,0–3,0.9,1.8,0,3
2025-11-09,Genoa,Fiorentina,2–2,1.5,1.5,2,2
2025-11-09,Bologna,Napoli,2–0,0.9,0.2,2,0
2025-11-09,Roma,Udinese,2–0,1.5,1.1,2,0
2025-11-09,Inter,Lazio,2–0,1.9,0.6,2,0
,Home,Away,Score,,,,
,,,,,,,
2025-11-22,Cagliari,Genoa,3–3,0.8,1.4,3,3
2025-11-22,Udinese,Bologna,0–3,1.5,2.3,0,3
2025-11-22,Fiorentina,Juventus,1–1,0.6,1.5,1,1
2025-11-22,Napoli,Atalanta,3–1,1.6,0.8,3,1
2025-11-23,Hellas Verona,Parma,1–2,0.6,1.4,1,2
2025-11-23,Cremonese,Roma,1–3,0.9,1.9,1,3
2025-11-23,Lazio,Lecce,2–0,1.9,0.4,2,0
2025-11-23,Inter,Milan,0–1,1.9,1.0,0,1
2025-11-24,Torino,Como,1–5,1.5,2.7,1,5
2025-11-24,Sassuolo,Pisa,2–2,1.8,1.5,2,2
,,,,,,,
2025-11-28,Como,Sassuolo,2–0,1.8,1.0,2,0
2025-11-29,Parma,Udinese,0–2,0.9,1.6,0,2
2025-11-29,Genoa,Hellas Verona,2–1,1.9,1.9,2,1
2025-11-29,Juventus,Cagliari,2–1,1.7,0.5,2,1
2025-11-29,Milan,Lazio,1–0,1.4,0.7,1,0
2025-11-30,Lecce,Torino,2–1,1.0,1.7,2,1
2025-11-30,Pisa,Inter,0–2,1.7,2.0,0,2
2025-11-30,Atalanta,Fiorentina,2–0,1.6,1.6,2,0
2025-11-30,Roma,Napoli,0–1,0.5,1.2,0,1
2025-12-01,Bologna,Cremonese,1–3,2.7,2.1,1,3
,,,,,,,
