Squad,Home.xG,Home.xGA,Away.xG,Away.xGA
Inter,21.2,8.6,14.2,7.7
Milan,18.0,10.8,12.3,10.2
Napoli,10.6,9.2,16.9,11.0
Juventus,19.8,8.4,13.3,8.3
Roma,12.9,8.4,12.6,14.5
Como,13.2,8.7,12.1,11.0
Atalanta,19.0,9.9,9.8,9.4
Lazio,14.3,12.5,7.1,12.8
Bologna,12.6,8.7,12.4,14.9
Udinese,12.2,10.8,10.8,16.6
Sassuolo,8.8,15.1,11.1,14.3
Torino,12.8,17.1,11.0,11.0
Cremonese,10.7,12.9,8.9,19.8
Parma,8.7,14.0,9.3,10.4
Genoa,12.9,11.7,11.9,12.6
Cagliari,8.0,12.2,11.4,17.4
Lecce,10.7,13.0,4.5,12.1
Fiorentina,17.1,12.9,12.6,15.0
Pisa,9.5,12.2,12.4,16.9
Hellas Verona,8.4,9.3,11.5,15.5
