Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Inter,20,15,1,4,43,17,26,46,2.3,35.3,16.3,19.0,1.0,W W W D W,72275,Lautaro Martínez - 10,Yann Sommer,
2,Milan,19,11,7,1,30,15,15,40,2.11,30.3,21.0,9.4,0.49,D W W D D,72811,Christian Pulisic - 8,Mike Maignan,
3,Napoli,20,12,4,4,30,17,13,40,2.0,27.5,20.2,7.4,0.39,W W D D D,48751,Rasmus Højlund - 6,Vanja Milinković-Savić,
4,Juventus,20,11,6,3,32,16,16,39,1.95,33.1,16.7,16.4,0.82,W W D W W,40764,Kenan Yıldız - 7,Michele Di Gregorio,
5,Roma,20,13,0,7,24,12,12,39,1.95,25.5,22.9,2.7,0.13,L W L W W,62987,Matìas Soulé - 6,Mile Svilar,
6,Como,19,9,7,3,27,13,14,34,1.79,25.3,19.7,5.7,0.3,L W W W D,11333,"Anastasios Douvikas, Nicolás Paz - 6",Jean Butez,
7,Atalanta,20,8,7,5,25,19,6,31,1.55,28.8,19.3,9.5,0.48,W L W W W,22228,Gianluca Scamacca - 5,Marco Carnesecchi,
8,Lazio,20,7,7,6,21,16,5,28,1.4,21.4,25.3,-3.9,-0.19,D D L D W,41493,"Mattia Zaccagni, Matteo Cancellieri - 3",Ivan Provedel,
9,Bologna,19,7,6,6,26,20,6,27,1.42,25.0,23.6,1.5,0.08,L D L L D,27749,Riccardo Orsolini - 6,Łukasz Skorupski,
10,Udinese,20,7,5,8,22,32,-10,26,1.3,23.0,27.4,-4.4,-0.22,L D L W D,22393,Keinan Davis - 6,Maduka Okoye,
11,Sassuolo,20,6,5,9,23,27,-4,23,1.15,19.9,29.4,-9.5,-0.48,L D D L L,15984,"Domenico Berardi, Andrea Pinamonti - 4",Arijanet Muric,
12,Torino,20,6,5,9,21,32,-11,23,1.15,23.9,28.1,-4.2,-0.21,W L W L L,21527,"Nikola Vlašić, Giovanni Simeone - 5",Alberto Paleari,
13,Cremonese,20,5,7,8,20,28,-8,22,1.1,19.6,32.7,-13.1,-0.66,D L L D L,12515,"Jamie Vardy, Federico Bonazzoli - 5",Emil Audero,
14,Parma,20,5,7,8,14,22,-8,22,1.1,18.0,24.4,-6.4,-0.34,W D L W D,19203,Mateo Pellegrino - 6,Zion Suzuki,
15,Genoa,20,4,7,9,22,29,-7,19,0.95,24.9,24.3,0.6,0.03,L L D D W,30965,Lorenzo Colombo - 5,Nicola Leali,
16,Cagliari,20,4,7,9,21,30,-9,19,0.95,19.4,29.6,-10.3,-0.51,D W L D L,15993,"Sebastiano Esposito, Gennaro Borrelli - 3",Elia Caprile,
17,Lecce,20,4,5,11,13,28,-15,17,0.85,15.2,25.1,-9.9,-0.52,L D L L L,25567,"Lassana Coulibaly, Lameck Banda... - 2",Wladimiro Falcone,
18,Fiorentina,20,2,8,10,21,31,-10,14,0.7,29.7,27.9,1.8,0.09,W L W D D,20463,"Rolando Mandragora, Moise Kean - 5",David de Gea,
19,Pisa,20,1,10,9,15,30,-15,13,0.65,21.9,29.1,-7.2,-0.36,D L D L D,11429,"Stefano Moreo, M'Bala Nzola - 3",Adrian Šemper,
20,Hellas Verona,19,2,7,10,15,31,-16,13,0.68,19.8,24.7,-4.9,-0.26,W L L D L,23700,Gift Orban - 5,Lorenzo Montipò,
