Squad,GF,GA,xG,xGA,Pts
Inter,43,17,35.3,16.3,46
Milan,30,15,30.3,21.0,40
Napoli,30,17,27.5,20.2,40
Juventus,32,16,33.1,16.7,39
Roma,24,12,25.5,22.9,39
Como,27,13,25.3,19.7,34
Atalanta,25,19,28.8,19.3,31
Lazio,21,16,21.4,25.3,28
Bologna,26,20,25.0,23.6,27
Udinese,22,32,23.0,27.4,26
Sassuolo,23,27,19.9,29.4,23
Torino,21,32,23.9,28.1,23
Cremonese,20,28,19.6,32.7,22
Parma,14,22,18.0,24.4,22
Genoa,22,29,24.9,24.3,19
Cagliari,21,30,19.4,29.6,19
Lecce,13,28,15.2,25.1,17
Fiorentina,21,31,29.7,27.9,14
Pisa,15,30,21.9,29.1,13
Hellas Verona,15,31,19.8,24.7,13
