match_id,match_num,jc_date,league_name_jc,home_team_cn,away_team_cn,full_score_raw,half_score_raw,hcp_sp_home_now,hcp_sp_draw_now,hcp_sp_away_now,hcp_line_now,bettingSingle,poolStatus,hcp_p_home_now,hcp_p_draw_now,hcp_p_away_now,hcp_p_home_minus_away_now,home_team_fbref,away_team_fbref,home_GF,home_GA,home_xG,home_xGA,home_Pts,home_Home.xG,home_Home.xGA,home_Away.xG,home_Away.xGA,home_def_strength,home_off_buildup,home_tempo,away_GF,away_GA,away_xG,away_xGA,away_Pts,away_Home.xG,away_Home.xGA,away_Away.xG,away_Away.xGA,away_def_strength,away_off_buildup,away_tempo,tempo_diff,bonus_isCancel,spf_sp_home_open,spf_sp_draw_open,spf_sp_away_open,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,spf_p_home_close,spf_p_draw_close,spf_p_away_close,spf_p_home_minus_away_close,hcp_sp_home_open,hcp_sp_draw_open,hcp_sp_away_open,hcp_line_open,hcp_sp_home_close,hcp_sp_draw_close,hcp_sp_away_close,hcp_line_close,hcp_p_home_close,hcp_p_draw_close,hcp_p_away_close,hcp_p_home_minus_away_close,bonus_score,home_team_short_name,away_team_short_name,home_goal_avg_cnt,away_goal_avg_cnt,home_goal_avg_ratio,away_goal_avg_ratio,home_loss_goal_avg_cnt,away_loss_goal_avg_cnt,home_loss_goal_avg_ratio,away_loss_goal_avg_ratio,home_win_cnt,home_draw_cnt,home_loss_cnt,away_win_cnt,away_draw_cnt,away_loss_cnt,home_score_ratio,away_score_ratio,total_leg_cnt,same_home_win_cnt,same_home_draw_cnt,same_home_loss_cnt,same_away_win_cnt,same_away_draw_cnt,same_away_loss_cnt,same_home_score_ratio,same_away_score_ratio,home_win_rate,away_win_rate,home_away_goal_diff,home_away_loss_goal_diff,home_goals,away_goals,goal_diff,total_goals,result_1x2,ou25_result
1029709,7016,2025-01-27,西班牙甲级联赛,巴塞罗那,巴伦西亚,7:1,5:0,1.12,6.55,12.0,-2.0,0,Payout,0.7909354371276767,0.13524392207374014,0.07382064079858316,0.7171147963290935,Barcelona,,53.0,20.0,43.3,24.9,49.0,21.7,7.5,21.6,17.4,-1.7868204327715036,3.6908188826724007,5.111895867056881,,,,,,,,,,,,,,0.0,1.15,6.0,11.0,1.12,6.55,12.0,0.7909354371276767,0.13524392207374014,0.07382064079858316,0.7171147963290935,2.45,4.1,2.1,-2.0,2.29,4.05,2.25,-2.0,0.38711527432613263,0.21888740202638118,0.3939973236474861,-0.006882049321353445,7:1,巴萨,巴伦西亚,2.8,1.3,68.3,31.7,1.5,0.9,62.5,37.5,6,2,2,4,3,3,67.0,50.0,10,7,0,3,4,4,2,70.0,53.0,0.6,0.4,1.4999999999999998,0.6,7.0,1.0,6.0,8.0,H,1.0
1029708,7015,2025-01-27,法国甲级联赛,尼斯,马赛,2:0,1:0,2.44,3.35,2.38,1.0,0,Payout,0.3631651346894899,0.2645143070574195,0.3723205582530905,-0.009155423563600606,Nice,Marseille,20.0,30.0,20.7,30.8,18.0,12.8,13.9,7.8,16.9,-1.3499256820616,-0.972822270651911,-0.8212259696569422,36.0,17.0,30.5,20.6,32.0,18.9,10.8,11.7,9.8,-3.3215669665944167,0.8049680712374939,1.7677943291704659,-2.589020298827408,0.0,2.5,3.35,2.32,2.44,3.35,2.38,0.3631651346894899,0.2645143070574195,0.3723205582530905,-0.009155423563600606,1.45,4.25,4.9,1.0,1.42,4.3,5.2,1.0,0.6237099023709902,0.20596931659693163,0.17032078103207807,0.4533891213389122,2:0,尼斯,马赛,1.6,2.2,42.1,57.9,1.7,1.0,63.0,37.0,4,2,4,6,3,1,47.0,70.0,10,5,4,1,9,0,1,63.0,90.0,0.4,0.6,-0.6000000000000001,0.7,2.0,0.0,2.0,2.0,H,0.0
1029707,7014,2025-01-27,意大利甲级联赛,拉齐奥,佛罗伦萨,1:2,0:2,1.84,3.3,3.55,-1.0,0,Payout,0.48172211028413997,0.268596570582672,0.24968131913318806,0.23204079115095191,Lazio,Fiorentina,21.0,16.0,21.4,25.3,28.0,14.3,12.5,7.1,12.8,-1.5924067868575347,-0.7237721420094037,-0.7034862519886075,21.0,31.0,29.7,27.9,14.0,17.1,12.9,12.6,15.0,-1.2251713824436843,-0.03840739414958899,-0.05721216409893017,-0.6462740878896773,0.0,1.84,3.3,3.55,1.84,3.3,3.55,0.48172211028413997,0.268596570582672,0.24968131913318806,0.23204079115095191,3.75,3.5,1.74,-1.0,3.77,3.45,1.74,-1.0,0.23477373256209597,0.25654984688669613,0.5086764205512079,-0.2739026879891119,1:2,拉齐奥,佛罗伦萨,1.7,1.6,51.5,48.5,1.4,1.4,50.0,50.0,6,2,2,2,4,4,67.0,33.0,10,6,3,1,5,2,3,70.0,57.0,0.6,0.2,0.09999999999999987,0.0,1.0,2.0,-1.0,3.0,A,1.0
1029706,7013,2025-01-27,英格兰超级联赛,富勒姆,曼彻斯特联,0:1,0:0,2.15,3.2,2.85,-1.0,1,Payout,0.41215681843859453,0.2769178623884307,0.31092531917297483,0.1012314992656197,Fulham,,30.0,30.0,23.6,29.0,31.0,12.6,13.4,11.0,15.5,0.41881991306917415,0.3904244167523178,0.8135954047425947,,,,,,,,,,,,,,0.0,2.19,3.2,2.78,2.15,3.2,2.85,0.41215681843859453,0.2769178623884307,0.31092531917297483,0.1012314992656197,4.7,3.95,1.51,-1.0,4.55,3.9,1.53,-1.0,0.19453273998728543,0.2269548633184997,0.578512396694215,-0.3839796567069295,0:1,富勒姆,曼联,2.0,1.4,58.8,41.2,1.3,2.0,39.4,60.6,4,5,1,3,2,5,57.0,37.0,10,4,4,2,2,4,4,53.0,33.0,0.4,0.3,0.6000000000000001,-0.7,0.0,1.0,-1.0,1.0,A,0.0
1029705,7012,2025-01-27,葡萄牙超级联赛,波尔图,圣克拉拉,1:1,0:1,1.48,3.55,5.8,-1.0,0,Payout,0.5980597188335076,0.2493319391193215,0.15260834204717091,0.44545137678633673,Porto,Santa Clara,36.0,4.0,30.6,8.2,49.0,15.3,3.3,15.2,4.9,-1.0109809721437597,0.02226656107591939,1.3131273995131423,14.0,19.0,18.9,17.6,17.0,9.7,6.8,9.2,10.8,-1.6093916870426763,-2.0691810873538503,-2.162778114832028,3.4759055143451705,0.0,1.36,4.0,7.0,1.48,3.55,5.8,0.5980597188335076,0.2493319391193215,0.15260834204717091,0.44545137678633673,2.3,3.2,2.62,-1.0,2.67,3.25,2.24,-1.0,0.3318397505731985,0.27261911816321227,0.3955411312635892,-0.06370138069039072,1:1,波尔图,圣克拉拉,1.5,0.9,62.5,37.5,0.8,0.8,50.0,50.0,5,1,4,5,2,3,53.0,57.0,10,8,1,1,4,1,5,83.0,43.0,0.5,0.5,0.6,0.0,1.0,1.0,0.0,2.0,D,0.0
1029704,7011,2025-01-27,英格兰超级联赛,阿斯顿维拉,西汉姆联,1:1,1:0,1.39,4.15,6.0,-1.0,0,Payout,0.6383224169091352,0.2137995565069151,0.14787802658394963,0.4904443903251855,Aston Villa,,33.0,24.0,25.0,30.1,43.0,12.0,12.8,13.1,17.3,0.37993703738270007,0.2725538142416458,0.543067664220031,,,,,,,,,,,,,,0.0,1.46,3.92,5.3,1.39,4.15,6.0,0.6383224169091352,0.2137995565069151,0.14787802658394963,0.4904443903251855,2.45,3.4,2.35,-1.0,2.35,3.3,2.5,-1.0,0.37705667276051186,0.26851005484460694,0.3544332723948812,0.022623400365630653,1:1,维拉,西汉姆联,1.5,1.1,57.7,42.3,1.5,2.1,41.7,58.3,5,2,3,3,2,5,57.0,37.0,10,5,4,1,2,2,6,63.0,27.0,0.5,0.3,0.3999999999999999,-0.6000000000000001,1.0,1.0,0.0,2.0,D,0.0
1029703,7010,2025-01-26,西班牙甲级联赛,皇家社会,赫塔费,0:3,0:0,1.75,2.7,5.35,-1.0,0,Payout,0.5062647857706124,0.32813458336984136,0.16560063085954613,0.3406641549110663,Real Sociedad,Getafe,24.0,27.0,25.8,23.9,21.0,13.5,11.0,12.3,12.9,0.40321585780029884,0.5898258645943176,0.06309985494765384,15.0,25.0,13.0,20.2,21.0,5.1,9.5,8.0,10.7,1.1031877437150177,-2.566078877324473,-2.569134562964982,2.632234417912636,0.0,1.63,2.88,5.95,1.75,2.7,5.35,0.5062647857706124,0.32813458336984136,0.16560063085954613,0.3406641549110663,3.45,3.0,1.98,-1.0,4.15,2.95,1.82,-1.0,0.21335611675177332,0.3001450455999523,0.48649883764827434,-0.27314272089650105,0:3,皇家社会,赫塔费,1.3,0.8,61.9,38.1,0.7,0.6,53.8,46.2,5,2,3,4,3,3,57.0,50.0,10,6,2,2,3,3,4,67.0,40.0,0.5,0.4,0.5,0.09999999999999998,0.0,3.0,-3.0,3.0,A,1.0
1029702,7009,2025-01-26,德国甲级联赛,霍芬海姆,法兰克福,2:2,0:1,3.03,3.7,1.89,1.0,0,Payout,0.29221878173225185,0.23930348882397917,0.4684777294437689,-0.17625894771151707,Hoffenheim,Eint Frankfurt,34.0,21.0,22.5,22.6,30.0,10.9,10.9,11.6,11.7,-1.1001831828754982,-0.7515303728497585,0.5188527870086905,35.0,36.0,23.8,21.7,26.0,12.6,9.0,11.2,12.7,-2.254077472931314,-0.4320437653828988,0.8366703554965502,-0.3178175684878597,0.0,2.7,3.45,2.13,3.03,3.7,1.89,0.29221878173225185,0.23930348882397917,0.4684777294437689,-0.17625894771151707,1.55,4.13,4.13,1.0,1.69,3.95,3.52,1.0,0.5241195251863104,0.22424354368730748,0.251636931126382,0.2724825940599284,2:2,霍芬海姆,法兰克福,0.8,1.9,29.6,70.4,1.9,1.4,57.6,42.4,1,3,6,5,1,4,20.0,53.0,10,3,3,4,5,1,4,40.0,53.0,0.1,0.5,-1.0999999999999999,0.5,2.0,2.0,0.0,4.0,D,1.0
1029701,7008,2025-01-26,意大利甲级联赛,乌迪内斯,罗马,1:2,1:0,2.88,3.05,2.2,1.0,0,Payout,0.3073751717819514,0.2902427851580394,0.40238204306000913,-0.09500687127805774,Udinese,Roma,22.0,32.0,23.0,27.4,26.0,12.2,10.8,10.8,16.6,-0.15620634239042655,-0.7510163083141094,-0.6307895533935588,24.0,12.0,25.5,22.9,39.0,12.9,8.4,12.6,14.5,-0.7205914114639307,1.1646989578002178,0.8994578777465566,-1.5302474311401153,0.0,3.35,3.17,1.94,2.88,3.05,2.2,0.3073751717819514,0.2902427851580394,0.40238204306000913,-0.09500687127805774,1.65,3.5,4.2,1.0,1.52,3.85,4.75,1.0,0.5831566192063012,0.2302332626476825,0.18661011814601636,0.3965465010602849,1:2,乌迪内斯,罗马,0.9,2.4,27.3,72.7,1.6,0.9,64.0,36.0,2,4,4,6,2,2,33.0,67.0,10,4,2,4,0,5,5,47.0,17.0,0.2,0.6,-1.5,0.7000000000000001,1.0,2.0,-1.0,3.0,A,1.0
1029700,7007,2025-01-26,英格兰超级联赛,水晶宫,布伦特福德,1:2,0:0,1.85,3.25,3.55,-1.0,1,Payout,0.47838706333575204,0.2723126360526589,0.24930030061158914,0.2290867627241629,Crystal Palace,Brentford,22.0,23.0,33.2,27.4,28.0,20.0,13.0,13.2,14.4,2.891004623437549,0.029394433117851327,-1.6126775673584954,35.0,28.0,33.8,28.0,33.0,21.3,15.3,12.5,12.7,1.7313700857804615,-0.19383202289215423,-0.6923906607754469,-0.9202869065830486,0.0,1.91,3.35,3.25,1.85,3.25,3.55,0.47838706333575204,0.2723126360526589,0.24930030061158914,0.2290867627241629,3.8,3.7,1.68,-1.0,3.6,3.6,1.75,-1.0,0.24647887323943662,0.24647887323943662,0.5070422535211268,-0.2605633802816901,1:2,水晶宫,布伦特,1.6,1.4,53.3,46.7,1.3,1.7,43.3,56.7,5,3,2,2,2,6,60.0,27.0,10,3,4,3,1,2,7,43.0,17.0,0.5,0.2,0.20000000000000018,-0.3999999999999999,1.0,2.0,-1.0,3.0,A,1.0
