match_id,match_num,match_num_str,jc_date,business_date,match_time,league_name_jc,league_abb_name,league_id,home_team_cn,home_team_abb,home_team_id,away_team_cn,away_team_abb,away_team_id,full_score_raw,half_score_raw,hcp_sp_home_now,hcp_sp_draw_now,hcp_sp_away_now,hcp_line_now,spf_sp_home_now,spf_sp_draw_now,spf_sp_away_now,match_status,sell_status,weekday,back_color,bettingSingle,poolStatus,hcp_p_home_now,hcp_p_draw_now,hcp_p_away_now,hcp_p_home_minus_away_now,spf_p_home_now,spf_p_draw_now,spf_p_away_now,spf_p_home_minus_away_now,bonus_isCancel,hcp_sp_home_open,hcp_sp_draw_open,hcp_sp_away_open,hcp_line_open,hcp_sp_home_close,hcp_sp_draw_close,hcp_sp_away_close,hcp_line_close,hcp_p_home_close,hcp_p_draw_close,hcp_p_away_close,hcp_p_home_minus_away_close,bonus_score,spf_sp_home_open,spf_sp_draw_open,spf_sp_away_open,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,spf_p_home_close,spf_p_draw_close,spf_p_away_close,spf_p_home_minus_away_close,home_team_short_name,away_team_short_name,home_goal_avg_cnt,away_goal_avg_cnt,home_goal_avg_ratio,away_goal_avg_ratio,home_loss_goal_avg_cnt,away_loss_goal_avg_cnt,home_loss_goal_avg_ratio,away_loss_goal_avg_ratio,home_win_cnt,home_draw_cnt,home_loss_cnt,away_win_cnt,away_draw_cnt,away_loss_cnt,home_score_ratio,away_score_ratio,total_leg_cnt,same_home_win_cnt,same_home_draw_cnt,same_home_loss_cnt,same_away_win_cnt,same_away_draw_cnt,same_away_loss_cnt,same_home_score_ratio,same_away_score_ratio,home_win_rate,away_win_rate,home_away_goal_diff,home_away_loss_goal_diff,home_team_fbref,away_team_fbref,home_GF,home_GA,home_xG,home_xGA,home_Pts,home_Home.xG,home_Home.xGA,home_Away.xG,home_Away.xGA,home_def_strength,home_off_buildup,home_tempo,away_GF,away_GA,away_xG,away_xGA,away_Pts,away_Home.xG,away_Home.xGA,away_Away.xG,away_Away.xGA,away_def_strength,away_off_buildup,away_tempo,tempo_diff
2037136,3001,周三001,2026-01-22,2026-01-21,01:30,沙特职业联赛,沙职,2068446,达马克,达马克,2065841,利雅得胜利,利雅胜利,1560,,,2.38,4.1,2.15,2.0,,,,Define,,周三,2E7D32,,,0.3720979316167159,0.21599831152384974,0.41190375685943437,-0.03980582524271847,,,,,0,2.38,4.1,2.38,2.0,2.38,4.1,2.15,2.0,0.3720979316167159,0.21599831152384974,0.41190375685943437,-0.03980582524271847,,,,,,,,,,,,达马克,利雅胜利,0.7,2.8,20.0,80.0,1.2,1.5,44.4,55.6,1,7,2,6,1,3,33.0,63.0,10,1,4,5,7,1,2,23.0,73.0,0.1,0.6,-2.0999999999999996,-0.30000000000000004,Damac,,11.0,25.0,,,10.0,,,,,-0.433887502883756,,-1.2698009886657728,,,,,,,,,,,,,
2037137,3002,周三002,2026-01-22,2026-01-21,01:45,欧洲冠军联赛,欧冠,69,卡拉巴赫,卡拉巴赫,1253,法兰克福,法兰克福,170,,,1.68,3.8,3.7,1.0,2.95,3.7,1.93,Selling,2,周三,F75000,,,0.5273818454613654,0.2331582895723931,0.23945986496624153,0.28792198049512385,0.30068001431609087,0.2397313627655319,0.4595886229183773,-0.15890860860228645,0,1.68,3.8,1.68,1.0,1.68,3.8,3.7,1.0,0.5273818454613654,0.2331582895723931,0.23945986496624153,0.28792198049512385,,2.95,3.7,1.93,2.95,3.7,1.93,0.30068001431609087,0.2397313627655319,0.4595886229183773,-0.15890860860228645,卡拉巴赫,法兰克福,2.2,1.6,57.9,42.1,1.3,2.5,34.2,65.8,6,1,3,2,4,4,63.0,33.0,10,7,2,1,1,5,4,77.0,27.0,0.6,0.2,0.6000000000000001,-1.2,,Eint Frankfurt,,,,,,,,,,,,,35.0,36.0,23.8,21.7,26.0,12.6,9.0,11.2,12.7,-2.254077472931314,-0.4320437653828988,0.8366703554965502,
2037138,3003,周三003,2026-01-22,2026-01-21,01:45,欧洲冠军联赛,欧冠,69,加拉塔萨雷,加拉塔萨,283,马德里竞技,马竞,172,,,1.68,3.75,3.75,1.0,2.95,3.64,1.94,Selling,2,周三,F75000,,,0.5274261603375527,0.23628691983122363,0.23628691983122363,0.2911392405063291,0.30020490932124855,0.24329793475211073,0.45649715592664086,-0.15629224660539232,0,1.68,3.75,1.68,1.0,1.68,3.75,3.75,1.0,0.5274261603375527,0.23628691983122363,0.23628691983122363,0.2911392405063291,,2.95,3.64,1.94,2.95,3.64,1.94,0.30020490932124855,0.24329793475211073,0.45649715592664086,-0.15629224660539232,加拉塔萨,马竞,1.9,1.6,54.3,45.7,1.0,1.2,45.5,54.5,6,2,2,6,1,3,67.0,63.0,10,6,2,2,6,1,3,67.0,63.0,0.6,0.6,0.2999999999999998,-0.19999999999999996,,Atlético Madrid,,,,,,,,,,,,,34.0,17.0,30.4,22.3,38.0,20.3,8.4,10.1,13.8,0.14004744184654225,1.1085163116872898,1.2008143438242525,
2037139,3004,周三004,2026-01-22,2026-01-21,01:45,荷兰甲级联赛,荷甲,17,阿尔克马尔,阿尔克马,241,SBV精英,SBV精英,816,,,1.68,3.98,3.55,-1.0,1.19,5.65,9.0,Selling,2,周三,FF6699,,,0.5276070412331867,0.22270849981702354,0.2496844589497898,0.2779225822833969,0.7446894198452042,0.1568460901974855,0.09846448995731033,0.6462249298878939,0,1.68,3.98,1.68,-1.0,1.68,3.98,3.55,-1.0,0.5276070412331867,0.22270849981702354,0.2496844589497898,0.2779225822833969,,1.19,5.65,9.0,1.19,5.65,9.0,0.7446894198452042,0.1568460901974855,0.09846448995731033,0.6462249298878939,阿尔克马,SBV精英,2.1,1.3,61.8,38.2,1.1,1.8,37.9,62.1,5,2,3,3,3,4,57.0,40.0,10,6,3,1,2,2,6,70.0,27.0,0.5,0.3,0.8,-0.7,AZ Alkmaar,,32.0,28.0,36.1,23.4,28.0,17.2,10.8,18.9,12.6,-0.680568833492864,1.083587154999002,1.211995392416736,,,,,,,,,,,,,
2037140,3005,周三005,2026-01-22,2026-01-21,04:00,欧洲冠军联赛,欧冠,69,切尔西,切尔西,7,帕福斯,帕福斯,1055702,,,1.85,4.05,2.92,-2.0,,,,Selling,2,周三,F75000,,,0.4783883821120123,0.21852308812524024,0.3030885297627475,0.17529985234926476,,,,,0,1.85,4.05,1.85,-2.0,1.85,4.05,2.92,-2.0,0.4783883821120123,0.21852308812524024,0.3030885297627475,0.17529985234926476,,,,,,,,,,,,切尔西,帕福斯,2.1,1.8,53.8,46.2,1.4,1.2,53.8,46.2,4,3,3,6,1,3,50.0,63.0,10,5,2,3,4,2,4,57.0,47.0,0.4,0.6,0.30000000000000004,0.19999999999999996,Chelsea,,34.0,24.0,36.8,28.4,31.0,18.1,13.5,18.7,15.0,-0.45750316812556285,2.0495860241461874,2.2146663616158255,,,,,,,,,,,,,
2037141,3006,周三006,2026-01-22,2026-01-21,04:00,欧洲冠军联赛,欧冠,69,亚特兰大,亚特兰大,117,毕尔巴鄂竞技,毕尔巴鄂,506,,,3.3,3.35,1.9,-1.0,1.68,3.45,4.1,Selling,2,周三,F75000,,,0.2686787674124103,0.26466863655550865,0.46665259603208104,-0.19797382861967072,0.5272279995527228,0.2567371128256737,0.2160348876216035,0.3111931119311193,0,3.3,3.35,3.3,-1.0,3.3,3.35,1.9,-1.0,0.2686787674124103,0.26466863655550865,0.46665259603208104,-0.19797382861967072,,1.68,3.45,4.1,1.68,3.45,4.1,0.5272279995527228,0.2567371128256737,0.2160348876216035,0.3111931119311193,亚特兰大,毕尔巴鄂,1.6,0.8,66.7,33.3,0.7,1.9,26.9,73.1,7,1,2,1,4,5,73.0,23.0,10,6,2,2,1,4,5,67.0,23.0,0.7,0.1,0.8,-1.2,Atalanta,Athletic Club,25.0,19.0,28.8,19.3,31.0,19.0,9.9,9.8,9.4,-1.148718971754395,1.4179629451455562,1.5003815179913906,17.0,25.0,25.7,19.2,24.0,14.7,7.6,11.0,11.6,0.1684099405777286,0.17543433000571115,-0.6176401696978601,2.1180216876892506
2037142,3007,周三007,2026-01-22,2026-01-21,04:00,欧洲冠军联赛,欧冠,69,尤文图斯,尤文图斯,124,本菲卡,本菲卡,267,,,2.82,3.4,2.08,-1.0,1.57,3.65,4.6,Selling,2,周三,F75000,,,0.3139539013389211,0.260397059345811,0.42564903931526793,-0.11169513797634684,0.5645120618643356,0.24281751702109777,0.19267042111456673,0.37184164074976883,0,2.82,3.4,2.82,-1.0,2.82,3.4,2.08,-1.0,0.3139539013389211,0.260397059345811,0.42564903931526793,-0.11169513797634684,,1.57,3.65,4.6,1.57,3.65,4.6,0.5645120618643356,0.24281751702109777,0.19267042111456673,0.37184164074976883,尤文图斯,本菲卡,1.9,1.8,51.4,48.6,0.5,0.8,38.5,61.5,7,1,2,6,2,2,73.0,67.0,10,6,4,0,7,1,2,73.0,73.0,0.7,0.6,0.09999999999999987,-0.30000000000000004,Juventus,Benfica,32.0,16.0,33.1,16.7,39.0,19.8,8.4,13.3,8.3,-2.6373978229686323,1.9388162819583765,2.57955773684557,36.0,11.0,31.0,12.6,39.0,18.6,5.9,12.4,6.6,-2.003842902305884,0.6400774830302276,1.6029453410627794,0.9766123957827908
2037143,3008,周三008,2026-01-22,2026-01-21,04:00,欧洲冠军联赛,欧冠,69,拜仁慕尼黑,拜仁,137,圣吉尔联合,圣吉联合,2484,,,1.97,4.2,2.62,-2.0,,,,Selling,2,周三,F75000,,,0.4502565529431983,0.2111917641185954,0.3385516829382063,0.11170487000499196,,,,,0,1.97,4.2,1.97,-2.0,1.97,4.2,2.62,-2.0,0.4502565529431983,0.2111917641185954,0.3385516829382063,0.11170487000499196,,,,,,,,,,,,拜仁,圣吉联合,4.1,1.3,75.9,24.1,0.9,0.8,52.9,47.1,9,1,0,5,3,2,93.0,60.0,10,9,1,0,4,3,3,93.0,50.0,0.9,0.5,2.8,0.09999999999999998,Bayern Munich,,66.0,13.0,46.9,11.9,47.0,25.3,6.6,21.6,5.3,-3.5262989205139115,3.482731633244303,5.668728580385115,,,,,,,,,,,,,
2037144,3009,周三009,2026-01-22,2026-01-21,04:00,欧洲冠军联赛,欧冠,69,布拉格斯拉维亚,斯拉维亚,336,巴塞罗那,巴萨,401,,,3.08,3.92,1.82,1.0,6.6,5.25,1.27,Selling,2,周三,F75000,,,0.2875197472353871,0.22590837282780415,0.4865718799368089,-0.1990521327014218,0.1341562792382217,0.168653608185193,0.6971901125765853,-0.5630338333383635,0,3.08,3.92,3.08,1.0,3.08,3.92,1.82,1.0,0.2875197472353871,0.22590837282780415,0.4865718799368089,-0.1990521327014218,,6.6,5.25,1.27,6.6,5.25,1.27,0.1341562792382217,0.168653608185193,0.6971901125765853,-0.5630338333383635,斯拉维亚,巴萨,2.3,2.6,46.9,53.1,1.7,0.8,68.0,32.0,6,2,2,9,0,1,67.0,90.0,10,5,3,2,6,1,3,60.0,63.0,0.6,0.9,-0.30000000000000027,0.8999999999999999,,Barcelona,,,,,,,,,,,,,53.0,20.0,43.3,24.9,49.0,21.7,7.5,21.6,17.4,-1.7868204327715036,3.6908188826724007,5.111895867056881,
2037145,3010,周三010,2026-01-22,2026-01-21,04:00,欧洲冠军联赛,欧冠,69,马赛,马赛,182,利物浦,利物浦,11,,,1.85,3.65,3.18,1.0,3.62,3.6,1.74,Selling,2,周三,F75000,,,0.47878725378983183,0.2426729916469011,0.278539754563267,0.20024749922656482,0.2447372122462375,0.24609686342538328,0.5091659243283791,-0.26442871208214164,0,1.85,3.65,1.85,1.0,1.85,3.65,3.18,1.0,0.47878725378983183,0.2426729916469011,0.278539754563267,0.20024749922656482,,3.62,3.6,1.74,3.62,3.6,1.74,0.2447372122462375,0.24609686342538328,0.5091659243283791,-0.26442871208214164,马赛,利物浦,3.0,1.7,63.8,36.2,1.2,0.9,57.1,42.9,6,2,2,5,5,0,67.0,67.0,10,6,2,2,4,3,3,67.0,50.0,0.6,0.5,1.3,0.29999999999999993,Marseille,Liverpool,36.0,17.0,30.5,20.6,32.0,18.9,10.8,11.7,9.8,-3.3215669665944167,0.8049680712374939,1.7677943291704659,32.0,28.0,31.9,23.8,35.0,16.1,10.3,15.7,13.5,0.35352361543095356,2.7674564847669343,2.792688198012703,-1.0248938688422373
