team\_cn\_sporttery,team\_en\_fbref,所属联赛
比勒费尔德,Arminia,2 Bundesliga
布伦瑞克,BTSV,2 Bundesliga
波鸿,Bochum,2 Bundesliga
达姆施塔特,Darmstadt 98,2 Bundesliga
德累斯顿,Dresden,2 Bundesliga
杜塞尔多夫,Düsseldorf,2 Bundesliga
埃尔沃斯堡,Elversberg,2 Bundesliga
菲尔特,Greuther Fürth,2 Bundesliga
汉诺威,Hannover 96,2 Bundesliga
柏林赫塔,Hertha BSC,2 Bundesliga
基尔,Holstein Kiel,2 Bundesliga
凯泽斯劳滕,Kaiserslautern,2 Bundesliga
卡尔斯鲁厄,Karlsruher,2 Bundesliga
马格德堡,Magdeburg,2 Bundesliga
纽伦堡,Nürnberg,2 Bundesliga
帕德博恩,Paderborn 07,2 Bundesliga
明斯特,Preu?en Münster,2 Bundesliga
沙尔克,Schalke 04,2 Bundesliga
阿德莱德,Adelaide,A League
奥克兰FC,Auckland FC,A League
布里斯班狮吼,Brisbane,A League
中央海岸,Central Coast,A League
麦克阿瑟,Macarthur FC,A League
墨尔本城,Melb City,A League
墨尔本胜利,Melb Victory,A League
纽卡斯尔,Newcastle,A League
珀斯光荣,Perth Glory,A League
悉尼FC,Sydney FC,A League
西悉尼,W Sydney,A League
惠灵顿,Wellington,A League
西部联,Western United,A League
AIK索尔纳,AIK Stockholm,ALLsvenskan
布洛马波卡纳,Brommapojkarna,ALLsvenskan
代格福什,Degerfors,ALLsvenskan
尤尔戈登,Djurg?rden,ALLsvenskan
埃尔夫斯堡,Elfsborg,ALLsvenskan
盖斯,GAIS,ALLsvenskan
IFK哥德堡,G?teborg,ALLsvenskan
哈尔姆斯塔德,Halmstad,ALLsvenskan
哈马比,Hammarby,ALLsvenskan
赫根,H?cken,ALLsvenskan
马尔默,Malm?,ALLsvenskan
米亚尔比,Mj?llby,ALLsvenskan
北雪平,Norrk?ping,ALLsvenskan
天狼星,Sirius,ALLsvenskan
韦纳穆,V?rnamo,ALLsvenskan
奥斯达,?ster,ALLsvenskan
奥格斯堡,Augsburg,Bundesliga
拜仁慕尼黑,Bayern Munich,Bundesliga
多特蒙德,Dortmund,Bundesliga
法兰克福,Eint Frankfurt,Bundesliga
弗赖堡,Freiburg,Bundesliga
门兴,Gladbach,Bundesliga
海登海姆,Heidenheim,Bundesliga
霍芬海姆,Hoffenheim,Bundesliga
科隆,Koln,Bundesliga
勒沃库森,Leverkusen,Bundesliga
美因茨,Mainz 05,Bundesliga
莱比锡红牛,RB Leipzig,Bundesliga
斯图加特,Stuttgart,Bundesliga
柏林联合,Union Berlin,Bundesliga
云达不来梅,Werder Bremen,Bundesliga
沃尔夫斯堡,Wolfsburg,Bundesliga
汉堡,Hamburger SV,Bundesliga
伯明翰,Birmingham City,Championship
布莱克本,Blackburn,Championship
布里斯托城,Bristol City,Championship
查尔顿,Charlton Ath,Championship
考文垂,Coventry City,Championship
德比郡,Derby County,Championship
赫尔城,Hull City,Championship
伊普斯维奇,Ipswich Town,Championship
莱斯特城,Leicester City,Championship
米德尔斯堡,Middlesbrough,Championship
米尔沃尔,Millwall,Championship
诺维奇,Norwich City,Championship
牛津联,Oxford United,Championship
朴茨茅斯,Portsmouth,Championship
普雷斯顿,Preston,Championship
女王公园巡游者,QPR,Championship
谢菲尔德联,Sheffield Utd,Championship
谢菲尔德星期三,Sheffield Weds,Championship
南安普顿,Southampton,Championship
斯托克城,Stoke City,Championship
斯旺西,Swansea City,Championship
沃特福德,Watford,Championship
西布罗姆维奇,West Brom,Championship
雷克瑟姆,Wrexham,Championship
博德闪耀,Bod? Glimt,Eliteserien
布兰,Brann,Eliteserien
布莱尼,Bryne,Eliteserien
腓特烈斯塔,Fredrikstad,Eliteserien
汉坎,HamKam,Eliteserien
海于格松,Haugesund,Eliteserien
KFUM奥斯陆,KFUM Oslo,Eliteserien
克里斯蒂安松,Kristiansund,Eliteserien
莫尔德,Molde,Eliteserien
罗森博格,Rosenborg,Eliteserien
